# This is CartPole simulation from 17.02.2023 at time 15:31:39
# Done with git-revision: 5038d32efe89cd5b2f9f71b4db320f72139eed6e
#
# Length of experiment: 360 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m_pole: 0.087
# m_cart: 0.23
# L: 0.1975
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.5
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,Q_applied,u,target_position,target_equilibrium,L,Q_update_time,D_angle_sin,D_angle_cos,D_angleD,D_position,D_positionD
0.02,2.479616,0.65542066,21.328262,-0.7887787,0.61467725,0.0721517,-0.11732778,0.51219064,-0.009846881,-0.03957482,-0.10368603,0.07460548,-1.0,0.1975,0.016926542,-0.6728947,-0.51526725,21.341253,-0.11314675,0.4339751
0.04,2.4965665,1.0822457,-1.4947594,-0.79908407,0.60121936,0.06988876,-0.10864828,7.853787,-0.008156179,0.74922687,1.9629743,0.074516155,-1.0,0.1975,0.015055958,-0.87382793,-0.6427288,1.4097869,-0.044003874,6.754786
0.06,2.518262,1.1104414,32.284946,-0.81193864,0.5837428,0.069008686,0.026447436,-3.4378743,-0.005526162,-0.1911726,-0.5008722,0.07437027,-1.0,0.1975,0.016370041,-1.1410058,-0.796476,30.537767,-0.0019039959,-2.9671648
0.08,2.5460927,1.7211968,27.126614,-0.82786816,0.5609227,0.068970606,-0.032895856,-2.0120757,0.0012187622,-0.14515893,-0.38031638,0.074170284,-1.0,0.1975,0.015920667,-1.642215,-1.0663717,25.790169,-0.049505003,-1.7387812
0.1,2.5852566,2.2370002,30.660828,-0.8491956,0.5280784,0.067980506,-0.067671485,-3.4457512,4.8714224e-05,-0.35202608,-0.92230827,0.07391865,-1.0,0.1975,0.01600275,-2.156404,-1.2673053,28.530794,-0.09605812,-2.9670084
0.12,2.6352863,2.807616,10.283134,-0.8745417,0.4849503,0.06605934,-0.12701164,2.2967691,-0.0037446644,0.13070112,0.34243694,0.07361781,-1.0,0.1975,0.015732208,-2.5761168,-1.3323275,10.336731,-0.107989445,1.9978341
0.14,2.6932995,3.0143507,-3.7736166,-0.90118825,0.43342796,0.063899554,-0.08705495,5.7721453,0.011144514,0.5434175,1.4237539,0.07327022,-1.0,0.1975,0.015448084,-2.7307441,-1.2142482,-2.2288446,-0.039374836,4.995604
0.16,2.7530792,2.9697738,-13.870658,-0.9254732,0.3788131,0.06311206,0.012857109,7.915468,0.013306882,0.91884255,2.4073675,0.07287833,-1.0,0.1975,0.016615542,-2.676192,-1.0070676,-11.176652,0.07811743,6.8271003
0.18,2.810275,2.7462406,29.972687,-0.9456146,0.32528922,0.06467441,0.14939919,-5.014387,-0.0011537224,-0.13273901,-0.34777617,0.072444595,-1.0,0.1975,0.016206585,-2.8610072,-0.8892568,26.367073,0.10852704,-4.2382436
0.2,2.8702044,3.273582,9.16653,-0.9633997,0.2680691,0.06684495,0.06463434,0.17466824,0.00022830395,0.21556312,0.56477535,0.07197147,-1.0,0.1975,0.015938208,-3.2544606,-0.7891597,7.909323,0.06645137,0.22059236
0.22,2.9371924,3.4317684,-8.126702,-0.9791829,0.20297989,0.068173975,0.069046184,4.1681013,-0.009587772,0.59350497,1.5549829,0.071461394,-1.0,0.1975,0.016224792,-3.3136957,-0.5714388,-7.3130264,0.1035996,3.6302843
0.24,3.0044572,3.285508,4.062842,-0.9906117,0.136706,0.07024597,0.14165185,0.22551821,-0.009394775,0.32125148,0.84167886,0.07091683,-1.0,0.1975,0.015890166,-3.2966292,-0.34403807,2.7660732,0.14395829,0.27627802
0.26,3.07076,3.3408294,14.513242,-0.99749243,0.07077342,0.07312513,0.14717741,-3.1841257,-0.016453128,-0.017179536,-0.04501038,0.07034023,-1.0,0.1975,0.01611975,-3.4503992,-0.12530081,11.182183,0.12170964,-2.6042564
0.28,3.1398273,3.5644732,-35.568363,-0.99999845,0.0017654012,0.075559326,0.09509226,9.331807,-0.016883256,1.0690863,2.801006,0.06973404,-1.0,0.1975,0.015972542,-3.2645295,0.10091061,-31.523855,0.1716218,7.976696
0.3,-3.0780246,2.9339957,33.747578,-0.99798024,-0.06352522,0.07899176,0.25462627,-9.572067,-0.02594477,-0.47728157,-1.2504777,0.06910071,-1.0,0.1975,0.016000042,-3.1838706,0.3051731,26.668587,0.1771489,-7.9982224
0.32,-3.0140445,3.467367,-0.68356943,-0.9918768,-0.12720257,0.08253474,0.09466197,-1.1274583,-0.02893472,0.021452654,0.05620595,0.068442695,-1.0,0.1975,0.015694,-3.4036455,0.556418,-2.838777,0.08597928,-0.86298317
