# This is CartPole simulation from 17.02.2023 at time 15:20:21
# Done with git-revision: 5038d32efe89cd5b2f9f71b4db320f72139eed6e
#
# Length of experiment: 360 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m_pole: 0.087
# m_cart: 0.23
# L: 0.1975
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.5
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,Q_applied,u,target_position,target_equilibrium,L,Q_update_time,D_angle_sin,D_angle_cos,D_angleD,D_position,D_positionD
0.02,-1.4550447,-0.5048431,-37.479897,0.11549327,-0.99330825,-0.015813624,-0.11060296,-1.148972,-0.5228629,-0.3136537,-0.8217727,-0.014472561,1.0,0.1975,0.01610375,-0.090163946,-0.8367997,-37.386784,-0.11997028,-0.9677388
0.04,-1.4718778,-1.2525787,-40.819897,0.098757274,-0.9951115,-0.01821303,-0.12995774,-10.1807165,-0.8088313,-1.4521928,-3.804745,-0.014252516,1.0,0.1975,0.015662292,-0.13352036,-1.6094786,-39.921654,-0.21415642,-8.821612
0.06,-1.5041794,-2.0510118,-38.618362,0.066567704,-0.99778193,-0.022496158,-0.30639,-6.1757145,-0.9865907,-1.3156987,-3.4471304,-0.013893155,1.0,0.1975,0.016445667,-0.10215342,-2.3929648,-38.034477,-0.35709888,-5.283277
0.08,-1.5520868,-2.8117013,-37.096653,0.018708406,-0.999825,-0.029638136,-0.41205552,-0.07542114,-1.0,-0.80660444,-2.1133037,-0.013400518,1.0,0.1975,0.015485125,0.040084116,-3.1447055,-37.081783,-0.41186664,0.08637904
0.1,-1.6149964,-3.553337,-37.04123,-0.044185717,-0.9990233,-0.03787547,-0.41032794,0.12384321,-1.0,-0.8255216,-2.1628664,-0.012780643,1.0,0.1975,0.016091334,0.32238668,-3.8721936,-37.01256,-0.40829098,0.29530382
0.12,-1.6927278,-4.293588,-36.29098,-0.12162957,-0.9925756,-0.046041287,-0.40442187,-0.97074676,-1.0,-1.0026983,-2.6270695,-0.012039569,1.0,0.1975,0.015708875,0.7726966,-4.5525727,-36.12403,-0.41134965,-0.6385504
0.14,-1.7851143,-5.016069,-37.851788,-0.21268104,-0.97712165,-0.054268282,-0.41719288,2.13962,-1.0,-0.71469957,-1.8725128,-0.011183335,1.0,0.1975,0.015924167,1.4170649,-5.16277,-37.747463,-0.3980809,2.1142845
0.16,-1.8922398,-5.771018,-33.953934,-0.31593642,-0.94878036,-0.062229898,-0.3749072,-0.89374465,-0.86532944,-1.0682795,-2.7988923,-0.0102179805,1.0,0.1975,0.016428707,2.264102,-5.632761,-33.54147,-0.381159,-0.5686325
0.18,-2.0137298,-6.441848,-47.78184,-0.4285917,-0.9034983,-0.06985308,-0.38627985,8.896486,-0.6579417,-0.0070488453,-0.018467974,-0.009149543,1.0,0.1975,0.015822,3.359712,-5.983713,-46.94849,-0.3106602,8.079089
0.2,-2.1510856,-7.3808174,-43.000942,-0.54826593,-0.83630407,-0.076066285,-0.2246981,5.8855157,-0.40363747,-0.15038589,-0.394011,-0.007984063,1.0,0.1975,0.015915,4.7399263,-6.1340404,-41.404636,-0.17468262,5.333363
