# This is CartPole simulation from 17.02.2023 at time 16:05:31
# Done with git-revision: 5038d32efe89cd5b2f9f71b4db320f72139eed6e
#
# Length of experiment: 360 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m_pole: 0.087
# m_cart: 0.23
# L: 0.1975
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.5
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,Q_applied,u,target_position,target_equilibrium,L,Q_update_time,D_angle_sin,D_angle_cos,D_angleD,D_position,D_positionD
0.02,-1.3498698,-1.1840281,-41.221226,0.21913368,-0.97569484,0.10854753,0.09956592,-5.9351144,0.08227892,-0.48656344,-1.2747961,0.10660781,-1.0,0.1975,0.017093709,-0.31624734,-1.5177891,-40.38733,0.050671026,-5.106432
0.04,-1.3808788,-1.9917747,-32.191296,0.1887779,-0.9820198,0.10956095,-0.002562711,5.9731216,0.1692267,0.732341,1.9187334,0.10640734,-1.0,0.1975,0.015122625,-0.38018525,-2.25465,-33.14229,0.04756339,5.3141637
0.06,-1.4266124,-2.6546204,-36.098446,0.1436849,-0.9896235,0.11051222,0.10372056,1.139008,0.22270432,0.31492597,0.825106,0.106079936,-1.0,0.1975,0.016892709,-0.34012794,-2.9607415,-36.311485,0.11393614,1.1363618
0.08,-1.4862255,-3.38085,-38.69101,0.08447006,-0.99642605,0.11279094,0.1264478,-5.479863,0.2862411,-0.48606902,-1.2735008,0.10563112,-1.0,0.1975,0.016366582,-0.1761615,-3.7199018,-37.94518,0.08191204,-4.6043596
0.1,-1.5607241,-4.139754,-37.011612,0.010072017,-0.9999493,0.11442918,0.034360588,0.28578046,0.33414638,-0.012806684,-0.03355351,0.10506638,-1.0,0.1975,0.016666833,0.1549423,-4.468843,-37.040836,0.037913032,0.4678757
0.12,-1.6501845,-4.8805704,-35.78564,-0.07930482,-0.99685043,0.115187444,0.0437181,-3.5879304,0.36194438,-0.52885485,-1.3855996,0.10439122,-1.0,0.1975,0.018088832,0.680974,-5.152991,-35.33048,0.015159694,-2.9053893
0.14,-1.7541872,-5.58718,-41.181335,-0.18236466,-0.98323095,0.11549064,-0.014389694,7.0200863,0.38550743,0.5726348,1.5003031,0.10361114,-1.0,0.1975,0.017514916,1.4331523,-5.7814407,-41.5403,0.045628484,6.444825
0.16,-1.8733863,-6.417986,-45.934612,-0.29799345,-0.9545679,0.11640321,0.11450677,9.48069,0.37115547,1.00793,2.6407766,0.10273165,-1.0,0.1975,0.017104208,2.474429,-6.362463,-45.984768,0.19523714,8.640596
0.18,-2.0100265,-7.337682,-34.032124,-0.42524278,-0.9050793,0.12030795,0.2873188,0.44615835,0.32037842,0.16258042,0.42596066,0.10175824,-1.0,0.1975,0.01690846,3.7633755,-6.6400275,-33.19698,0.29211944,0.5812035
0.2,-2.1628222,-8.001621,-41.836956,-0.5580433,-0.8298118,0.12615034,0.29894286,5.3634415,0.26084068,0.6916467,1.8121142,0.10069643,-1.0,0.1975,0.016817626,5.228699,-6.522755,-40.11608,0.3444933,4.850387
0.22,-2.3302128,-8.803943,-29.200178,-0.6884984,-0.72523785,0.1330402,0.3959506,1.0209057,0.15352593,0.34389085,0.900994,0.0995517,-1.0,0.1975,0.016265625,6.7918253,-5.9670997,-26.528555,0.40396908,0.78570116
0.24,-2.511275,-9.334514,-22.402689,-0.80784035,-0.58940136,0.14111958,0.4116646,0.3133804,0.004001502,0.33190277,0.8695852,0.09832957,-1.0,0.1975,0.017236875,8.173108,-4.8455725,-18.498281,0.41248882,-0.074554995
0.26,-2.701593,-9.704479,-0.23996466,-0.9047518,-0.42593923,0.14936936,0.4101735,-4.392449,-0.12522613,-0.04918386,-0.12886171,0.09703552,-1.0,0.1975,0.017780876,9.108664,-3.254114,3.3443909,0.37063935,-4.400385
0.28,-2.8953457,-9.637591,27.13881,-0.9698341,-0.24376586,0.15678215,0.32216576,-9.68998,-0.26791722,-0.56175154,-1.471789,0.09567507,-1.0,0.1975,0.016754042,9.265482,-1.4227949,28.105625,0.23884462,-8.965854
0.3,-3.0831032,-9.075479,24.918528,-0.99829,-0.05845613,0.16155905,0.1428486,-7.0152845,-0.40719944,-0.45715863,-1.1977556,0.09425373,-1.0,0.1975,0.017020293,8.82974,0.26464486,25.994612,0.0824035,-6.5109673
0.32,3.0231776,-8.555587,76.1026,-0.9929971,0.118138485,0.16320711,0.012629373,-18.88921,-0.53105485,-1.7101437,-4.480576,0.09277698,-1.0,0.1975,0.015872875,7.752568,1.5518478,68.053856,-0.14287971,-16.237171
0.34,2.864885,-7.194509,9.462094,-0.96196014,0.27318993,0.16034952,-0.31211424,0.30457222,-0.6219294,-0.378957,-0.9928673,0.09125032,-1.0,0.1975,0.017376084,6.660926,2.4134326,12.877601,-0.31118226,-0.013802938
0.36,2.7230728,-6.936957,26.793285,-0.91369146,0.40640852,0.15412587,-0.3123903,-3.2481065,-0.70857674,-0.6729287,-1.7630731,0.08967928,-1.0,0.1975,0.016451083,5.915613,3.1208515,27.249125,-0.33962387,-2.8769073
0.38,2.5892057,-6.391975,47.160778,-0.8512745,0.52472067,0.1473334,-0.3699284,-8.432643,-0.7768775,-1.289891,-3.3795142,0.088069335,-1.0,0.1975,0.017743625,4.895896,3.4382474,43.82763,-0.43858564,-7.1183004
0.4,2.4694824,-5.515422,4.7889576,-0.7825095,0.62263864,0.13856168,-0.5122945,6.296717,-0.8220519,-0.02204156,-0.057748884,0.086426,-1.0,0.1975,0.01745354,4.0679464,3.615356,9.7291565,-0.46114668,5.3042073
0.42,2.360582,-5.320839,40.232273,-0.71020246,0.7039975,0.12933876,-0.40621042,-5.0842795,-0.8330611,-1.0366098,-2.7159176,0.084754765,-1.0,0.1975,0.015933083,3.348769,3.6667237,38.611534,-0.44730803,-4.2380176
0.44,2.2612252,-4.548608,19.075468,-0.63686794,0.7709729,0.12039259,-0.49097082,4.0922427,-0.8075571,-0.21445203,-0.5618643,0.08306115,-1.0,0.1975,0.016108332,2.628334,3.4804564,21.634686,-0.45700943,3.5755808
0.46,2.1739697,-4.115914,37.83616,-0.5672588,0.8235396,0.1112524,-0.41945916,-3.216722,-0.75559837,-0.9206166,-2.4120154,0.08135064,-1.0,0.1975,0.016847542,2.024569,3.1910062,37.027515,-0.44524452,-2.6426952
0.48,2.0983703,-3.3753643,24.311316,-0.5034387,0.86403096,0.102347516,-0.47231302,4.2175417,-0.68983334,-0.20478135,-0.5365271,0.07962874,-1.0,0.1975,0.01718075,1.4976135,2.7669132,26.09062,-0.43700725,3.736339
0.5,2.0354357,-2.8535516,17.046764,-0.44810042,0.89398324,0.093607366,-0.3975862,9.646302,-0.6095805,0.5411155,1.4177226,0.07790097,-1.0,0.1975,0.016610583,1.1372428,2.4294355,20.18053,-0.31745464,8.431529
0.52,1.9817805,-2.4499414,26.970821,-0.39951175,0.9167281,0.08725828,-0.22895578,4.8219647,-0.5516421,0.27333313,0.71613276,0.07617281,-1.0,0.1975,0.016516458,0.83404016,2.0348642,28.389486,-0.18859392,4.268528
0.54,1.9377937,-1.8821505,35.95298,-0.3588144,0.9334089,0.08348639,-0.14358504,-0.7900791,-0.48506156,-0.25071692,-0.6568783,0.07444976,-1.0,0.1975,0.017058957,0.536645,1.4637439,35.864433,-0.14971882,-0.6148739
0.56,1.9066122,-1.1648625,40.79109,-0.32953954,0.9441418,0.08049202,-0.15588251,-4.438539,-0.41257322,-0.72427166,-1.8975917,0.072737336,-1.0,0.1975,0.016359916,0.2582612,0.75945777,39.993412,-0.19243154,-3.8232088
0.58,1.8905686,-0.364995,40.989235,-0.3143504,0.949307,0.07664339,-0.23234661,-4.694824,-0.3628538,-0.9057189,-2.3729835,0.07104103,-1.0,0.1975,0.0173005,6.85452e-05,0.00021010595,40.24293,-0.2712587,-4.089719
0.6,1.8905642,0.4398653,33.451843,-0.3143462,0.9493084,0.07121821,-0.31414115,1.5821092,-0.30224064,-0.3103385,-0.8130868,0.06936636,-1.0,0.1975,0.0175535,-0.23842178,-0.7025129,33.6166,-0.30113935,1.353815
0.62,1.9054017,1.1121967,31.174168,-0.32839644,0.94453996,0.06519543,-0.28706488,3.1686041,-0.2505853,-0.06445451,-0.1688708,0.06771881,-1.0,0.1975,0.016127335,-0.47624156,-1.3105718,31.475609,-0.26101962,2.715354
0.64,1.933291,1.7417083,31.402712,-0.35460785,0.93501514,0.05997504,-0.23275785,2.4753435,-0.22138649,-0.032632142,-0.08549621,0.06610388,-1.0,0.1975,0.016106958,-0.7563158,-1.8785663,31.557938,-0.21259463,2.0873408
0.66,1.9737958,2.3728683,36.342567,-0.39217925,0.9198888,0.05572314,-0.19101095,-1.4805095,-0.19829556,-0.3994463,-1.0465493,0.06452709,-1.0,0.1975,0.017603833,-1.1245142,-2.4520838,35.963737,-0.20388272,-1.3999065
0.68,2.027755,3.0921423,34.213413,-0.44122088,0.89739853,0.051645488,-0.21900906,-0.568971,-0.16990985,-0.31229925,-0.818224,0.06299393,-1.0,0.1975,0.01697371,-1.6017601,-2.996206,33.833595,-0.22438358,-0.61603993
0.7,2.0957177,3.7688136,34.23284,-0.50114495,0.86536336,0.04715782,-0.23132984,-1.1578867,-0.15389414,-0.3681363,-0.96451706,0.061509896,-1.0,0.1975,0.017516583,-2.182789,-3.4382184,33.61316,-0.24163786,-1.1368065
0.72,2.177192,4.441078,27.248922,-0.56990945,0.8217075,0.042325053,-0.25406602,1.4402028,-0.123482145,-0.08016988,-0.21004507,0.060080502,-1.0,0.1975,0.016370792,-2.8457103,-3.7183142,26.78466,-0.24262373,1.1651803
0.74,2.270872,4.976771,14.638451,-0.64427567,0.76479334,0.037472583,-0.23076244,5.549519,-0.10442274,0.43740207,1.1459934,0.058711242,-1.0,0.1975,0.016935417,-3.4853938,-3.7325716,14.706864,-0.18484218,4.817528
0.76,2.3730538,5.270908,26.898645,-0.718927,0.6950855,0.033775743,-0.13441198,-0.47461182,-0.08882441,-0.048665825,-0.12750445,0.05740762,-1.0,0.1975,0.016807126,-4.160694,-3.6015038,25.486946,-0.13850763,-0.43658954
0.78,2.483168,5.7806463,19.664244,-0.79095703,0.6118717,0.031005593,-0.14314376,0.93570715,-0.050822496,0.08869848,0.23239,0.056175143,-1.0,0.1975,0.01643275,-4.9112816,-3.3522568,18.152773,-0.13512522,0.868952
0.8,2.602164,6.1437025,13.594711,-0.8580023,0.5136459,0.028303083,-0.12576468,1.5961925,-0.026678912,0.16780332,0.43964466,0.055019304,-1.0,0.1975,0.016120791,-5.5553994,-2.8700497,11.86546,-0.11186554,1.5175995
0.82,2.727305,6.3810115,9.599442,-0.91540325,0.402538,0.026065774,-0.09541272,1.4509491,0.015718644,0.16696438,0.43744665,0.05394561,-1.0,0.1975,0.016710665,-6.061129,-2.2106073,7.459028,-0.0823628,1.4548625
0.84,2.856428,6.530192,7.3455844,-0.95961535,0.28131554,0.02441852,-0.0663155,0.7610924,0.048541345,0.09625395,0.2521853,0.05295956,-1.0,0.1975,0.016613582,-6.419408,-1.4311017,4.611435,-0.058666777,0.91043824
0.86,2.988063,6.622421,-7.926342,-0.98823744,0.15292712,0.023245182,-0.0481067,3.5326848,0.07720565,0.33245802,0.87104,0.052066658,-1.0,0.1975,0.016687917,-6.5137844,-0.5752986,-9.299382,-0.017611234,3.294514
0.88,3.1189392,6.4364333,-26.225779,-0.9997434,0.022651555,0.022892958,0.017783515,7.036492,0.11186154,0.71794295,1.8810104,0.051272403,-1.0,0.1975,0.0173645,-6.197484,0.24436438,-25.170828,0.07660536,6.2113595
0.9,-3.0401206,5.9330173,-6.674911,-0.9948561,-0.101298004,0.024425063,0.14201058,0.6811735,0.1383103,0.27402753,0.7179521,0.050582305,-1.0,0.1975,0.016562458,-5.7819324,0.93352306,-9.030539,0.14878482,0.7942325
0.92,-2.9229171,5.752406,18.961996,-0.9761856,-0.21693689,0.027400766,0.15789527,-7.3809457,0.15697959,-0.531255,-1.391888,0.050001856,-1.0,0.1975,0.017206375,-5.6545477,1.6107217,11.625373,0.09916546,-5.988141
0.94,-2.8052597,5.9849133,-20.766958,-0.9439712,-0.33002773,0.029384073,0.038132563,2.2712367,0.18488626,0.13813695,0.3619188,0.04953656,-1.0,0.1975,0.01633575,-5.345767,2.2241018,-21.65589,0.057392716,2.050918
0.96,-2.6893954,5.551796,-12.399882,-0.8994892,-0.43694296,0.030531926,0.079150885,-1.2250117,0.1969355,-0.1655851,-0.43383294,0.049191922,-1.0,0.1975,0.016710375,-4.7421465,2.6305206,-15.069359,0.06974484,-0.93796116
0.98,-2.5808845,5.250408,-64.810356,-0.8468787,-0.5317861,0.031926826,0.060391624,13.902245,0.19503023,1.3359172,3.500103,0.04897344,-1.0,0.1975,0.01672075,-3.8608289,2.6855257,-58.066113,0.17336996,11.705497
1.0,-2.4867902,4.089087,0.5564816,-0.79316825,-0.6090026,0.03539422,0.29450133,-7.7919793,0.18545155,-0.47048467,-1.2326698,0.04888662,-1.0,0.1975,0.016310915,-3.120467,2.6041949,-4.6274586,0.23096244,-6.602309
1.02,-2.4054804,3.996538,-33.295933,-0.7410844,-0.6714119,0.040013466,0.16245528,2.865031,0.17576703,0.4102601,1.0748814,0.04892221,-1.0,0.1975,0.017059293,-2.6479716,2.5837147,-32.659943,0.1856001,2.3853326
1.04,-2.3314707,3.3433397,-18.593033,-0.68941015,-0.72437125,0.043725464,0.21016188,-3.2760777,0.16971444,-0.15092357,-0.39541972,0.049055543,-1.0,0.1975,0.016252043,-2.1077862,2.3599021,-20.648582,0.18303058,-2.850937
1.06,-2.268177,2.9303684,-33.56374,-0.64221215,-0.76652694,0.047386073,0.1531432,1.9871732,0.15337919,0.33471704,0.8769586,0.049282234,-1.0,0.1975,0.017621875,-1.635585,2.0599203,-33.16183,0.16909064,1.6363428
1.08,-2.215565,2.2671285,-24.622532,-0.60101354,-0.7992388,0.050767902,0.18587022,-2.3120692,0.1333745,-0.06533791,-0.17118531,0.04959826,-1.0,0.1975,0.016786585,-1.1920583,1.6544,-25.7554,0.16652827,-2.0453384
1.1,-2.1747797,1.752021,-30.196297,-0.5679256,-0.82307994,0.054098465,0.14496349,-0.26097408,0.11524245,0.10330854,0.27066836,0.049999602,-1.0,0.1975,0.017010042,-0.8217074,1.2293857,-30.46615,0.14254092,-0.27305585
1.12,-2.1452043,1.1426985,-36.51193,-0.5433379,-0.8395141,0.05694928,0.13950238,2.5077362,0.11001337,0.42010358,1.1006713,0.05048224,-1.0,0.1975,0.0160025,-0.43868464,0.69011813,-35.84866,0.16002893,2.138513
1.14,-2.1288493,0.425726,-19.534206,-0.52953553,-0.84828776,0.060149856,0.1822726,-6.0126066,0.07594829,-0.4644788,-1.2169343,0.051042143,-1.0,0.1975,0.01689896,-0.12694609,0.20445307,-21.213568,0.13249007,-5.223173
1.16,-2.124036,0.0014550535,-33.554314,-0.5254465,-0.8508267,0.062799655,0.07780924,0.93128127,0.061308313,0.13871054,0.36342162,0.051675294,-1.0,0.1975,0.017137375,0.1579018,-0.25397563,-33.278957,0.08554243,0.8153167
1.18,-2.1300173,-0.6641235,-30.539146,-0.530526,-0.84766865,0.0645105,0.094115555,-0.49760312,0.039970804,0.002434861,0.006379335,0.052377667,-1.0,0.1975,0.017440874,0.50566244,-0.79132223,-30.552315,0.090132944,-0.40545595
1.2,-2.1487994,-1.2751728,-17.578081,-0.5463525,-0.83755535,0.06631317,0.086006396,-6.532357,0.025935732,-0.7056969,-1.8489257,0.053145245,-1.0,0.1975,0.01694025,0.8045234,-1.1953306,-18.939823,0.032055408,-5.64925
1.22,-2.1776175,-1.6539689,-29.954622,-0.5702591,-0.8214649,0.06695428,-0.026978495,-0.2568214,0.022801315,-0.20695502,-0.54222214,0.053974003,-1.0,0.1975,0.017919667,1.1264782,-1.557891,-29.765116,-0.028827814,-0.17151336
1.24,-2.2160697,-2.2492707,-35.729156,-0.6014169,-0.79893535,0.06637772,-0.030408759,2.666782,0.008127926,0.09986603,0.26164898,0.054859918,-1.0,0.1975,0.016489126,1.5948251,-2.0091882,-34.72868,-0.00792817,2.3904245
1.26,-2.2673795,-2.9438436,-23.683712,-0.6416006,-0.7670389,0.06621916,0.017399687,-1.9406285,0.008120885,-0.3463728,-0.90749675,0.055798963,-1.0,0.1975,0.016729875,2.1004965,-2.3558877,-23.623001,0.0016175226,-1.6342112
1.28,-2.330516,-3.4163032,-16.818428,-0.6887183,-0.725029,0.06625151,-0.015284506,-3.8244593,0.007788376,-0.6220172,-1.629685,0.056787122,-1.0,0.1975,0.016311709,2.5485837,-2.498036,-17.111246,-0.046779633,-3.2922344
1.3,-2.4019048,-3.7585278,-28.857115,-0.738679,-0.67405736,0.06531592,-0.08112913,1.4095746,0.0022828877,-0.17940032,-0.47002882,0.05782037,-1.0,0.1975,0.016982835,3.0682888,-2.5821526,-27.538448,-0.06924795,1.2599912
1.32,-2.4821312,-4.3092995,-40.715214,-0.7903223,-0.6126913,0.06393095,-0.055929184,6.0404096,-0.004960564,0.3433699,0.8996291,0.058894683,-1.0,0.1975,0.0165435,3.8097627,-2.6790287,-37.59345,-0.005792832,5.2641106
1.34,-2.575313,-5.0611677,-41.547707,-0.8439028,-0.5364961,0.063815095,0.049352933,6.8153687,-0.01693851,0.594388,1.5572965,0.06000604,-1.0,0.1975,0.017222876,4.7165794,-2.651557,-37.48046,0.105557695,5.8705974
1.36,-2.683582,-5.810776,-25.484661,-0.8969339,-0.4421646,0.06592625,0.16676477,2.7403038,-0.03025246,0.38734934,1.0148553,0.06115042,-1.0,0.1975,0.016402874,5.5485926,-2.3314617,-22.091457,0.18868464,2.2317252
1.38,-2.8040252,-6.252605,13.173549,-0.9435631,-0.33119285,0.069699936,0.21139923,-7.0234447,-0.05298402,-0.46830416,-1.2269568,0.062323797,-1.0,0.1975,0.016729668,5.9000883,-1.6723708,12.780059,0.15237421,-6.259013
