epoch;loss;lr;val_loss
0;0.24645839631557465;0.001;0.03957565873861313
1;0.01595175825059414;0.001;0.013160690665245056
2;0.006690888665616512;0.001;0.0063934968784451485
3;0.004406866151839495;0.001;0.0032202317379415035
4;0.0032766968943178654;0.001;0.0023148397449404
5;0.0026479880325496197;0.001;0.0015402265125885606
6;0.002161273965612054;0.001;0.0014601543080061674
7;0.00040977756725624204;0.00031600002;0.0003373054787516594
8;0.0003685177653096616;0.00031600002;0.0003191096766386181
9;0.00013602155377157032;9.9856006e-05;0.00017003354150801897
10;0.00012384708679746836;9.9856006e-05;0.0001508378190919757
11;7.990292215254158e-05;3.1554497e-05;0.00012034632527502254
12;6.849852798040956e-05;1e-05;0.00010423320782138035
13;6.717321230098605e-05;1e-05;0.00010163050319533795
14;6.595268496312201e-05;1e-05;0.00010084535460919142
15;6.476505222963169e-05;1e-05;9.9304219475016e-05
16;6.368476897478104e-05;1e-05;9.712010796647519e-05
17;6.256588676478714e-05;1e-05;9.629405394662172e-05
18;6.156969902804121e-05;1e-05;9.325031714979559e-05
19;6.056954953237437e-05;1e-05;9.051696542883292e-05
20;5.958567271591164e-05;1e-05;9.0363624622114e-05
21;5.8701294619822875e-05;1e-05;9.064595360541716e-05
22;5.784505992778577e-05;1e-05;8.917514060158283e-05
23;5.690791294910014e-05;1e-05;9.026281622936949e-05
24;5.618710565613583e-05;1e-05;8.767592225922272e-05
25;5.5387168686138466e-05;1e-05;8.808694838080555e-05
26;5.4597538110101596e-05;1e-05;8.434057963313535e-05
27;5.381492883316241e-05;1e-05;8.238296140916646e-05
28;5.305756349116564e-05;1e-05;8.272792911157012e-05
29;5.2353574574226514e-05;1e-05;7.96633685240522e-05
