# This is CartPole simulation from 09.01.2023 at time 04:46:37
# Done with git-revision: 6630f7e6904fd8d7b8f88cd528a2dcd0b7eeaff7
#
# Length of experiment: 1.5 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m: 0.087
# M: 0.23
# L: 0.45
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.3
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,u,target_position,target_equilibrium,L,u_-1
0.02,-1.0202466,0.13699849,-16.006939,0.52315575,-0.85223705,0.07157555,-0.08738348,-2.221523,0.14720362,-0.7965686,0.07293349,1.0,0.44622198,0.5961973
0.04,-1.0198379,-0.12286215,-13.793206,0.5235041,-0.8520232,0.07005254,-0.06343716,0.288657,0.20010658,0.068730734,0.07293349,1.0,0.44622198,-0.7965686
0.06,-1.0246016,-0.3673071,-14.807098,0.51943934,-0.8545073,0.06903813,-0.021480205,-0.8265026,0.23554295,-0.07034766,0.07293349,1.0,0.44622198,0.068730734
0.08,-1.0342137,-0.62572545,-14.615988,0.5112019,-0.85946065,0.06892149,0.006059454,-0.5255976,0.23281956,0.13928755,0.07293349,1.0,0.44622198,-0.07034766
0.1,-1.0490448,-0.8846752,-16.397736,0.49839932,-0.8669476,0.069321275,0.035874207,-2.5220375,0.18718913,-0.33743492,0.07293349,1.0,0.44622198,0.13928755
0.12,-1.069508,-1.1915638,-16.59232,0.48055577,-0.87696415,0.069808185,0.0118999295,-2.6562269,0.108292766,-0.52405596,0.07293349,1.0,0.44622198,-0.33743492
0.14,-1.0960366,-1.4838767,-12.731975,0.4571248,-0.88940257,0.069938004,0.010078834,2.4947982,-0.025459724,0.98884475,0.07293349,1.0,0.44622198,-0.52405596
0.16,-1.1283934,-1.7862372,-16.706675,0.4281123,-0.90372556,0.07009652,0.00011092984,-2.536255,-0.18447764,-0.6377406,0.07293349,1.0,0.44622198,0.98884475
0.18,-1.1671703,-2.1182466,-18.38313,0.3927556,-0.91964287,0.06958839,-0.04572243,-4.912011,-0.37349534,-1.6551032,0.07293349,1.0,0.44622198,-0.6377406
0.2,-1.212696,-2.4627063,-20.77734,0.35049576,-0.9365643,0.06802153,-0.107479826,-9.101121,-0.5754219,-3.3355353,0.07293349,1.0,0.44622198,-1.6551032
0.22,-1.265039,-2.7970967,-17.558447,0.3010155,-0.95361924,0.06535261,-0.14905165,-3.6862812,-0.7672937,-1.9639837,0.07293349,1.0,0.44622198,-3.3355353
0.24,-1.3241538,-3.139566,-17.792273,0.24414949,-0.9697376,0.06168653,-0.20353821,-4.476063,-0.944413,-2.5922267,0.07293349,1.0,0.44622198,-1.9639837
0.26,-1.3899872,-3.4774725,-17.327578,0.17982554,-0.98369855,0.057202972,-0.24955316,-3.7901862,-1.0,-2.7326987,0.07293349,1.0,0.44622198,-2.5922267
0.28,-1.4625839,-3.814119,-16.684216,0.10800136,-0.99415076,0.05176042,-0.2940113,-1.8372622,-1.0,-2.476343,0.07293349,1.0,0.44622198,-2.7326987
0.3,-1.5418817,-4.147313,-16.596537,0.028910618,-0.999582,0.045440607,-0.33101237,-3.2903702,-1.0,-3.2708046,0.07293349,1.0,0.44622198,-2.476343
0.32,-1.6277937,-4.4765005,-16.49275,-0.056966487,-0.9983761,0.038341314,-0.3683056,0.8308281,-1.0,-2.3065982,0.07293349,1.0,0.44622198,-3.2708046
0.34,-1.7202973,-4.80323,-15.167329,-0.14894472,-0.9888455,0.031218272,-0.36174464,-4.334822,-1.0,-4.073018,0.07293349,1.0,0.44622198,-2.3065982
0.36,-1.8192645,-5.127691,-15.467023,-0.2459195,-0.96929026,0.02393126,-0.35764143,-1.1118087,-1.0,-3.1954458,0.07293349,1.0,0.44622198,-4.073018
0.38,-1.9247915,-5.4558992,-16.73909,-0.34664798,-0.9379953,0.017057927,-0.32866928,2.2862756,-1.0,-2.1522024,0.07293349,1.0,0.44622198,-3.1954458
0.4,-2.0367455,-5.7600756,-17.091888,-0.44927102,-0.89339554,0.010644296,-0.32367632,3.2094612,-0.9331157,-1.9753633,0.07293349,1.0,0.44622198,-2.1522024
0.42,-2.1547575,-6.0666575,-15.257959,-0.551333,-0.83428526,0.004440125,-0.29738703,1.6916199,-0.6618515,-2.4008865,0.07293349,1.0,0.44622198,-1.9753633
0.44,-2.2790442,-6.3932695,-15.830333,-0.650504,-0.7595028,-0.0009525337,-0.23416005,3.088229,-0.33373657,-1.7429073,0.07293349,1.0,0.44622198,-2.4008865
0.46,-2.4102082,-6.76538,-20.338388,-0.7442504,-0.6679007,-0.0046506254,-0.11771289,7.5136576,0.03916205,0.045936752,0.07293349,1.0,0.44622198,-1.7429073
0.48,-2.5486338,-7.1020813,-22.018394,-0.8292908,-0.5588172,-0.006047107,-0.015963137,9.241465,0.41884172,1.0502996,0.07293349,1.0,0.44622198,0.045936752
0.5,-2.6943555,-7.4828067,-20.019598,-0.9016454,-0.4324761,-0.0048714126,0.1337666,8.558254,0.79273444,1.7102134,0.07293349,1.0,0.44622198,1.0502996
0.52,-2.8473454,-7.8483872,-21.565327,-0.9570207,-0.29001957,-0.00078477233,0.29103988,10.486726,1.0,3.2178214,0.07293349,1.0,0.44622198,1.7102134
0.54,-3.0074065,-8.143348,-10.184439,-0.99101055,-0.13378385,0.0064955484,0.42820814,4.842918,1.0,2.8415256,0.07293349,1.0,0.44622198,3.2178214
0.56,3.1118407,-8.217133,-0.68795687,-0.99955744,0.02974754,0.015550171,0.46151787,0.75438225,1.0,2.4918602,0.07293349,1.0,0.44622198,2.8415256
0.58,2.9481678,-8.149106,17.502703,-0.9813517,0.192221,0.024520706,0.4423104,-8.636341,1.0,0.5344612,0.07293349,1.0,0.44622198,2.4918602
0.6,2.7861235,-8.033705,11.187735,-0.9374833,0.3480302,0.033230014,0.42563722,-3.4031246,1.0,2.2306738,0.07293349,1.0,0.44622198,0.5344612
0.62,2.6272297,-7.819547,17.178602,-0.8706063,0.49198037,0.04134556,0.37576047,-6.138186,1.0,1.5950105,0.07293349,1.0,0.44622198,2.2306738
0.64,2.4730496,-7.562384,6.8492093,-0.78472555,0.6198433,0.048418753,0.32288936,2.6179078,1.0,3.954876,0.07293349,1.0,0.44622198,1.5950105
0.66,2.323835,-7.2932014,13.774522,-0.68385893,0.72961426,0.05479928,0.28376883,-1.4489007,1.0,2.7665727,0.07293349,1.0,0.44622198,3.954876
0.68,2.1804929,-7.007453,17.9228,-0.5726187,0.81982183,0.060226586,0.25593457,-4.4983125,1.0,1.7560874,0.07293349,1.0,0.44622198,2.7665727
0.7,2.0432065,-6.697955,16.153778,-0.45503375,0.8904742,0.06496382,0.22678778,-1.8288956,1.0,2.3382466,0.07293349,1.0,0.44622198,1.7560874
0.72,1.9121038,-6.381438,16.738956,-0.3347194,0.94231784,0.06928864,0.2077028,-2.013091,1.0,2.0598228,0.07293349,1.0,0.44622198,2.3382466
0.74,1.7873988,-6.062322,17.39348,-0.21491274,0.97663325,0.07328929,0.20789336,-3.390487,1.0,1.4553969,0.07293349,1.0,0.44622198,2.0598228
