# This is CartPole simulation from 09.01.2023 at time 02:58:32
# Done with git-revision: 6630f7e6904fd8d7b8f88cd528a2dcd0b7eeaff7
#
# Length of experiment: 1.5 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m: 0.087
# M: 0.23
# L: 0.45
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.3
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,u,target_position,target_equilibrium,L,u_-1
0.02,-0.7356152,0.034285907,-9.412797,0.74141806,-0.6710434,0.15652123,-0.01710022,3.6482558,0.105605945,1.2625339,0.15701243,1.0,0.30902386,0.48133063
0.04,-0.7380939,-0.30617815,-21.242926,0.7397525,-0.6728791,0.15601902,-0.028654853,-2.9126837,0.10116491,-0.6392145,0.15701243,1.0,0.30902386,1.2625339
0.06,-0.74709225,-0.59570026,-24.697264,0.7336678,-0.6795083,0.15545385,-0.010747594,-4.7918434,0.051647756,-1.0896169,0.15701243,1.0,0.30902386,-0.6392145
0.08,-0.7619308,-0.9156679,-15.798405,0.7235045,-0.6903197,0.15523665,-0.0076754573,0.3511742,-0.04440333,0.3664515,0.15701243,1.0,0.30902386,-1.0896169
0.1,-0.7833053,-1.3067489,-23.301796,0.70858514,-0.70562536,0.15502943,-0.042270318,-3.797776,-0.17587212,-0.99401104,0.15701243,1.0,0.30902386,0.3664515
0.12,-0.8136348,-1.7453374,-25.483921,0.6868612,-0.7267886,0.15350844,-0.10033016,-4.9305744,-0.35334983,-1.6304947,0.15701243,1.0,0.30902386,-0.99401104
0.14,-0.85238534,-2.176898,-25.717651,0.6581892,-0.75285256,0.15107404,-0.14982037,-4.909303,-0.5230283,-1.9117237,0.15701243,1.0,0.30902386,-1.6304947
0.16,-0.9000872,-2.617709,-29.078924,0.6215417,-0.7833811,0.14749885,-0.19882354,-6.9517703,-0.6988985,-2.8105052,0.15701243,1.0,0.30902386,-1.9117237
0.18,-0.95686144,-3.0958593,-22.066866,0.57608825,-0.8173875,0.1428261,-0.2664422,-1.9137121,-0.88445663,-1.7464216,0.15701243,1.0,0.30902386,-2.8105052
0.2,-1.022847,-3.559556,-27.683031,0.5209378,-0.8535946,0.13710383,-0.31773257,-5.884823,-1.0,-3.2841332,0.15701243,1.0,0.30902386,-1.7464216
0.22,-1.0982549,-4.0354137,-20.040064,0.45515066,-0.8904144,0.13031131,-0.37088794,0.9673684,-1.0,-1.6070882,0.15701243,1.0,0.30902386,-3.2841332
0.24,-1.1833422,-4.5182652,-23.077654,0.37783247,-0.925874,0.122385435,-0.42238587,-1.2384287,-1.0,-2.6811054,0.15701243,1.0,0.30902386,-1.6070882
0.26,-1.2778072,-4.9753327,-22.954136,0.28881523,-0.9573849,0.11380109,-0.43599403,-0.38832036,-1.0,-2.661705,0.15701243,1.0,0.30902386,-2.6811054
0.28,-1.3816718,-5.4545274,-22.91945,0.18799911,-0.9821692,0.10470958,-0.4680519,0.749022,-1.0,-2.664943,0.15701243,1.0,0.30902386,-2.661705
0.3,-1.4948971,-5.9096947,-23.42239,0.07582635,-0.99712104,0.09556321,-0.41791883,1.0027329,-1.0,-2.5641022,0.15701243,1.0,0.30902386,-2.664943
0.32,-1.6173332,-6.381949,-24.239851,-0.04652005,-0.99891734,0.087347806,-0.40107572,5.321463,-1.0,-1.3503683,0.15701243,1.0,0.30902386,-2.5641022
0.34,-1.7493466,-6.86398,-23.48011,-0.1776031,-0.9841022,0.08004236,-0.34275687,0.47486097,-1.0,-2.843066,0.15701243,1.0,0.30902386,-1.3503683
0.36,-1.890938,-7.3442345,-27.27317,-0.31470108,-0.94919086,0.073474266,-0.3067837,6.3366294,-0.7731496,-1.0618405,0.15701243,1.0,0.30902386,-2.843066
0.38,-2.0422902,-7.839879,-30.020844,-0.45421767,-0.8908907,0.0679278,-0.24261092,8.152053,-0.43304092,-0.41181606,0.15701243,1.0,0.30902386,-1.0618405
0.4,-2.2042592,-8.398469,-25.832838,-0.5919393,-0.80598253,0.06432761,-0.1172262,4.756161,-0.069842935,-0.9909784,0.15701243,1.0,0.30902386,-0.41181606
0.42,-2.377257,-8.962576,-35.712475,-0.72184235,-0.69205755,0.06311458,0.013552719,11.095126,0.31489408,1.3941574,0.15701243,1.0,0.30902386,-0.9909784
0.44,-2.562013,-9.546165,-39.206715,-0.83669287,-0.5476724,0.06488085,0.16743764,12.992243,0.645335,2.6934745,0.15701243,1.0,0.30902386,1.3941574
0.46,-2.758008,-10.076748,-34.80206,-0.92732906,-0.374247,0.06964651,0.31332347,11.60526,0.9292184,3.2840898,0.15701243,1.0,0.30902386,2.6934745
0.48,-2.9640186,-10.517309,-17.607077,-0.9842751,-0.17664231,0.07728188,0.4468098,5.709394,1.0,2.949927,0.15701243,1.0,0.30902386,3.2840898
0.5,3.1066148,-10.685724,-16.589933,-0.99938834,0.034970697,0.08693892,0.5025914,7.282463,1.0,4.367508,0.15701243,1.0,0.30902386,2.949927
0.52,2.8932588,-10.553898,5.9455447,-0.9693233,0.24578926,0.097020485,0.47527885,0.061463553,0.9751572,3.1775444,0.15701243,1.0,0.30902386,4.367508
0.54,2.684782,-10.254114,12.025999,-0.89746386,0.441088,0.105973266,0.4160547,-0.5935276,0.8767526,3.333504,0.15701243,1.0,0.30902386,3.1775444
0.56,2.4833689,-9.840132,25.54467,-0.79108,0.6117127,0.11356644,0.33804196,-5.6034956,0.76917005,1.9718732,0.15701243,1.0,0.30902386,3.333504
0.58,2.2914624,-9.316713,21.721138,-0.6598853,0.7513663,0.119209364,0.22884083,-2.2613964,0.66559476,2.5134943,0.15701243,1.0,0.30902386,1.9718732
0.6,2.1097064,-8.815296,30.515503,-0.5132009,0.85826856,0.12300329,0.14982072,-7.93407,0.5588924,0.4136963,0.15701243,1.0,0.30902386,2.5134943
0.62,1.9381624,-8.310871,25.924477,-0.35915852,0.9332766,0.1251935,0.08440307,-4.0343866,0.46666846,1.1070935,0.15701243,1.0,0.30902386,0.4136963
0.64,1.7765589,-7.807237,26.113232,-0.20431368,0.9789055,0.12621807,0.023914712,-5.30469,0.40593916,0.18008305,0.15701243,1.0,0.30902386,1.1070935
0.66,1.6249058,-7.3138204,24.356941,-0.054083098,0.99853647,0.12612034,-0.025436142,-3.183651,0.23909627,0.34089884,0.15701243,1.0,0.30902386,0.18008305
0.68,1.4829628,-6.8348894,23.72319,0.08772059,0.9961451,0.12516314,-0.068338715,-0.6957462,0.06496739,0.64863855,0.15701243,1.0,0.30902386,0.34089884
0.7,1.3504717,-6.3738356,20.79376,0.21854638,0.97582656,0.123580314,-0.10021486,-4.8705325,-0.07604047,-1.078336,0.15701243,1.0,0.30902386,0.64863855
0.72,1.2268839,-5.9369864,21.600508,0.337173,0.9414427,0.12110097,-0.13879676,-1.1586461,-0.17893602,-0.33300957,0.15701243,1.0,0.30902386,-1.078336
0.74,1.1119095,-5.510565,19.321304,0.44295037,0.8965461,0.11804492,-0.15665804,-1.9987974,-0.22395638,-0.8790293,0.15701243,1.0,0.30902386,-0.33300957
0.76,1.0053333,-5.0973525,15.805115,0.53580683,0.8443406,0.11475838,-0.16203052,-3.3933332,-0.21776658,-1.4864298,0.15701243,1.0,0.30902386,-0.8790293
0.78,0.90683943,-4.7259283,14.542915,0.61623794,0.78756005,0.1114267,-0.17672421,-2.88487,-0.157648,-1.5255196,0.15701243,1.0,0.30902386,-1.4864298
0.8,0.81567377,-4.3119817,24.19791,0.6853779,0.72818756,0.10789883,-0.14665884,4.0659213,-0.06818861,0.507459,0.15701243,1.0,0.30902386,-1.5255196
0.82,0.7329475,-3.9322288,11.456359,0.74320555,0.66906315,0.105227135,-0.12116719,-2.529167,0.022576468,-1.3304893,0.15701243,1.0,0.30902386,0.507459
0.84,0.65766966,-3.5687826,23.968277,0.79141885,0.61127424,0.10309852,-0.09117147,4.8595095,0.12176333,0.8049038,0.15701243,1.0,0.30902386,-1.3304893
0.86,0.58962953,-3.2082164,23.29832,0.8311467,0.55605316,0.1016694,-0.050448462,4.950913,0.21884045,0.9620593,0.15701243,1.0,0.30902386,0.8049038
0.88,0.5289653,-2.8216834,17.729668,0.8633297,0.50464034,0.10123181,0.013610171,2.6970305,0.310314,0.61638284,0.15701243,1.0,0.30902386,0.9620593
0.9,0.47576123,-2.5177686,20.297358,0.8889443,0.45801526,0.102031514,0.048091795,4.3271723,0.39733067,1.1940771,0.15701243,1.0,0.30902386,0.61638284
0.92,0.4288368,-2.1531825,24.39292,0.90945005,0.4158132,0.103687435,0.119088784,6.544075,0.46170527,2.0979316,0.15701243,1.0,0.30902386,1.1940771
0.94,0.38887218,-1.8457472,13.651092,0.92533726,0.37914503,0.10667962,0.171602,2.040454,0.49786574,1.1604834,0.15701243,1.0,0.30902386,2.0979316
0.96,0.3545394,-1.5229023,29.009045,0.9378065,0.34715843,0.11054936,0.23724711,9.098747,0.52163106,3.3062127,0.15701243,1.0,0.30902386,1.1604834
0.98,0.32677376,-1.2638493,9.822067,0.9470829,0.3209892,0.115834184,0.28057155,0.93587154,0.4935695,1.3986888,0.15701243,1.0,0.30902386,3.3062127
1.0,0.30333236,-1.0607486,6.0586863,0.9543464,0.2987021,0.12165461,0.30426008,-0.46498796,0.4501245,1.1575035,0.15701243,1.0,0.30902386,1.3986888
1.02,0.28289726,-0.9479169,-3.5737805,0.96025074,0.27913892,0.12753196,0.29320952,-4.394351,0.3997312,0.104605705,0.15701243,1.0,0.30902386,1.1575035
1.04,0.26497912,-0.83092725,19.425934,0.96509796,0.26188913,0.13333622,0.287843,5.623515,0.32815963,2.6564872,0.15701243,1.0,0.30902386,0.104605705
1.06,0.24903643,-0.82764333,-3.783024,0.96915036,0.24647023,0.1389094,0.23740311,-4.111122,0.29580736,-0.067704506,0.15701243,1.0,0.30902386,2.6564872
1.08,0.2333127,-0.6755748,10.214557,0.9729058,0.23120172,0.14356701,0.25337136,1.9882208,0.22479165,1.5745057,0.15701243,1.0,0.30902386,-0.067704506
1.1,0.22038728,-0.6194955,1.4992112,0.97581285,0.21860754,0.14846843,0.23155242,-1.5705655,0.16199152,0.5695599,0.15701243,1.0,0.30902386,1.5745057
1.12,0.2082538,-0.5439191,-3.2644515,0.97839344,0.20675175,0.15281709,0.2204689,-3.452957,0.07559684,0.04456246,0.15701243,1.0,0.30902386,0.5695599
1.14,0.19764824,-0.50997114,-12.244187,0.9805311,0.19636391,0.1569725,0.19418025,-7.11458,-0.01117002,-1.0049323,0.15701243,1.0,0.30902386,0.04456246
1.16,0.18647252,-0.6036319,-0.91600573,0.98266435,0.18539372,0.16009665,0.11646339,-2.2405913,-0.05678607,-0.12872092,0.15701243,1.0,0.30902386,-1.0049323
1.18,0.17437685,-0.5527187,-9.601277,0.98483485,0.17349447,0.1620879,0.101752385,-5.750357,-0.10391112,-1.0818627,0.15701243,1.0,0.30902386,-0.12872092
1.2,0.16255741,-0.63140416,-1.9160721,0.9868166,0.16184242,0.16349645,0.035237398,-2.4148645,-0.110901006,-0.54486036,0.15701243,1.0,0.30902386,-1.0818627
1.22,0.1495284,-0.6455189,10.441189,0.9888414,0.14897181,0.16374938,-0.0018048675,2.8666737,-0.13596337,0.6242154,0.15701243,1.0,0.30902386,-0.54486036
1.24,0.13712889,-0.59473825,-8.292311,0.99061257,0.13669953,0.16366507,-0.009204299,-4.8083873,-0.16297013,-1.3460168,0.15701243,1.0,0.30902386,0.6242154
1.26,0.1258337,-0.52598536,2.1764567,0.9920934,0.12550189,0.16349123,-0.006765746,-0.3419992,-0.18708418,-0.19780442,0.15701243,1.0,0.30902386,-1.3460168
1.28,0.11550109,-0.5304681,6.6174254,0.99333715,0.115244456,0.16321434,-0.032610115,1.6017815,-0.22274105,0.17636177,0.15701243,1.0,0.30902386,-0.19780442
1.3,0.10491633,-0.5153485,2.2985427,0.99450135,0.10472395,0.16237164,-0.048259046,-0.08553154,-0.22667038,-0.3180181,0.15701243,1.0,0.30902386,0.17636177
1.32,0.09517337,-0.45396748,-1.1780182,0.99547446,0.09502975,0.16145808,-0.042701222,-1.4283081,-0.2361142,-0.62440413,0.15701243,1.0,0.30902386,-0.3180181
1.34,0.08642548,-0.42927903,-3.9943564,0.9962676,0.086317934,0.16057618,-0.050499965,-2.505926,-0.23257595,-0.92784786,0.15701243,1.0,0.30902386,-0.62440413
1.36,0.07764108,-0.4708088,6.1941013,0.99698746,0.07756309,0.15933439,-0.083974086,1.7922945,-0.22167775,0.0020359904,0.15701243,1.0,0.30902386,-0.92784786
1.38,0.06954229,-0.37385297,0.3880812,0.9975829,0.06948625,0.15806538,-0.058485195,-0.5265074,-0.21226364,-0.4560245,0.15701243,1.0,0.30902386,0.0020359904
1.4,0.0628698,-0.31109437,-13.006963,0.99802434,0.06282839,0.15710774,-0.045673903,-5.990357,-0.23222867,-1.767642,0.15701243,1.0,0.30902386,-0.4560245
1.42,0.05623542,-0.31393012,7.818814,0.9984192,0.056205787,0.1559154,-0.05866598,2.6715252,-0.23067231,0.35730863,0.15701243,1.0,0.30902386,-1.767642
1.44,0.049889315,-0.3198701,0.85769737,0.9987558,0.04986862,0.15461722,-0.07166508,-0.1389599,-0.22369847,-0.4087861,0.15701243,1.0,0.30902386,0.35730863
1.46,0.043766152,-0.27718532,2.7228773,0.9990424,0.043752182,0.15321136,-0.06335555,0.6907872,-0.19564627,-0.15627071,0.15701243,1.0,0.30902386,-0.4087861
1.48,0.03824072,-0.26014277,-0.95041597,0.9992689,0.0382314,0.15187663,-0.06448022,-0.76963335,-0.17309792,-0.52594155,0.15701243,1.0,0.30902386,-0.15627071
1.5,0.03328012,-0.26953495,13.410733,0.9994463,0.033273976,0.15062137,-0.07544922,5.199604,-0.15604405,0.92809767,0.15701243,1.0,0.30902386,-0.52594155
,,,,,,,,,,,,,,0.92809767
