# This is CartPole simulation from 09.01.2023 at time 03:53:54
# Done with git-revision: 6630f7e6904fd8d7b8f88cd528a2dcd0b7eeaff7
#
# Length of experiment: 27 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m: 0.087
# M: 0.23
# L: 0.45
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.3
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,u,target_position,target_equilibrium,L,u_-1
0.02,-1.4748482,-1.0254375,-29.215672,0.095801026,-0.9954005,0.08950909,-0.010234034,7.144438,0.625105,2.2514558,0.08994786,-1.0,0.2327803,1.7161126
0.04,-1.5007465,-1.629906,-30.095474,0.069992565,-0.9975475,0.09021641,0.07653977,6.0717344,0.80480945,2.2788253,0.089814745,-1.0,0.2327803,2.2514558
0.06,-1.5388232,-2.240961,-30.932299,0.031967632,-0.9994889,0.09270488,0.1841217,5.529045,1.0,2.5493424,0.08959719,-1.0,0.2327803,2.2788253
0.08,-1.5892339,-2.86635,-31.686836,-0.018436503,-0.99983,0.097596504,0.31351677,3.3527899,1.0,2.380118,0.08929872,-1.0,0.2327803,2.5493424
0.1,-1.652285,-3.5042899,-30.099968,-0.081398495,-0.99668163,0.10440561,0.3744307,-4.81518,1.0,-0.037865438,0.08892286,-1.0,0.2327803,2.380118
0.12,-1.7281622,-4.1494546,-31.812239,-0.15671715,-0.98764354,0.11235731,0.4288494,1.5066799,1.0,2.0778751,0.088473134,-1.0,0.2327803,-0.037865438
0.14,-1.8169402,-4.8056417,-32.816338,-0.24366587,-0.96985924,0.12129532,0.48851198,2.9972708,0.94541705,2.6647944,0.08795306,-1.0,0.2327803,2.0778751
0.16,-1.9187204,-5.435641,-31.894375,-0.34094694,-0.94008255,0.13132834,0.519346,2.182352,0.779967,2.3863478,0.08736617,-1.0,0.2327803,2.6647944
0.18,-2.0327086,-6.0225964,-24.261217,-0.44566083,-0.8952019,0.1417508,0.52628237,-2.642234,0.57932526,0.7962217,0.08671599,-1.0,0.2327803,2.3863478
0.2,-2.1579056,-6.530369,-26.497261,-0.5539567,-0.83254546,0.15213823,0.50416136,0.24802619,0.35901892,1.467177,0.08600604,-1.0,0.2327803,0.7962217
0.22,-2.292871,-6.974091,-18.37572,-0.66094303,-0.75043607,0.16210972,0.47705436,-2.378943,-0.017534941,0.5362719,0.08523984,-1.0,0.2327803,1.467177
0.24,-2.4356263,-7.295393,-0.3728755,-0.7609849,-0.64876956,0.17129192,0.42533588,-8.092986,-0.78666866,-1.2416543,0.08442092,-1.0,0.2327803,0.5362719
0.26,-2.5811932,-7.231102,2.8770156,-0.84704286,-0.5315246,0.17829046,0.2565104,-7.1046495,-1.0,-1.5421227,0.08355279,-1.0,0.2327803,-1.2416543
0.28,-2.723105,-6.914669,23.292564,-0.9137046,-0.40637913,0.18145531,0.04052773,-12.18186,-0.97575915,-3.6308167,0.082639,-1.0,0.2327803,-1.5421227
0.3,-2.8591676,-6.6356087,11.207903,-0.9603824,-0.27868548,0.18082522,-0.123268515,-6.3835297,-1.0,-2.6420894,0.08168305,-1.0,0.2327803,-3.6308167
0.32,-2.990595,-6.4653482,8.683908,-0.98862153,-0.1504244,0.17751718,-0.22030249,-4.138195,-1.0,-2.316127,0.08068848,-1.0,0.2327803,-2.6420894
0.34,-3.1175919,-6.1676445,3.5761547,-0.999712,-0.023998491,0.17219569,-0.32996377,-1.2695986,-1.0,-1.9224749,0.0796588,-1.0,0.2327803,-2.316127
0.36,3.0442529,-5.9392033,17.680136,-0.9952662,0.09718613,0.16500057,-0.39338908,-4.4819536,-1.0,-2.8714576,0.07859754,-1.0,0.2327803,-1.9224749
0.38,2.9288528,-5.5590506,10.088337,-0.9774561,0.21113877,0.15631543,-0.4817063,-1.0141218,-1.0,-2.2873735,0.077508226,-1.0,0.2327803,-2.8714576
0.4,2.819959,-5.2594953,19.559359,-0.9487202,0.31611693,0.14639863,-0.5241285,-3.0616803,-1.0,-2.9177513,0.07639438,-1.0,0.2327803,-2.2873735
0.42,2.7179897,-4.9215374,5.268948,-0.9116139,0.41104764,0.13550872,-0.5594109,2.6960855,-1.0,-1.5148243,0.07525952,-1.0,0.2327803,-2.9177513
0.44,2.622716,-4.5441656,19.773552,-0.8683768,0.49590504,0.12409249,-0.5904741,-1.4006209,-1.0,-2.705433,0.074107185,-1.0,0.2327803,-1.5148243
0.46,2.5351174,-4.142936,17.737717,-0.8216621,0.5699749,0.11216722,-0.61366445,0.16707075,-1.0,-2.3809345,0.072940886,-1.0,0.2327803,-2.705433
0.48,2.4554427,-3.7707074,18.744345,-0.77369094,0.63356316,0.09996574,-0.6099636,0.57393754,-1.0,-2.2514567,0.071764156,-1.0,0.2327803,-2.3809345
0.5,2.3833647,-3.3226743,20.71508,-0.7260556,0.68763596,0.08791897,-0.6226895,0.49212426,-1.0,-2.3558867,0.07058051,-1.0,0.2327803,-2.2514567
0.52,2.3208373,-2.8642352,14.7208805,-0.6816687,0.73166096,0.075498626,-0.6265408,3.8786836,-1.0,-1.4342735,0.06939348,-1.0,0.2327803,-2.3558867
0.54,2.2675672,-2.397868,25.815817,-0.64174455,0.7669185,0.06306769,-0.62265605,-0.715986,-1.0,-2.772218,0.06820658,-1.0,0.2327803,-1.4342735
0.56,2.2240133,-1.9184926,19.600603,-0.6077443,0.79413277,0.050626494,-0.61491543,2.847602,-1.0,-1.7300191,0.06702334,-1.0,0.2327803,-2.772218
0.58,2.1902392,-1.3829511,22.505995,-0.58058167,0.814202,0.038310647,-0.6287858,1.7553498,-1.0,-2.1467032,0.06584728,-1.0,0.2327803,-1.7300191
0.6,2.1671884,-0.85890603,18.10498,-0.56166106,0.8273674,0.02576468,-0.63124204,4.4649124,-1.0,-1.3773476,0.06468193,-1.0,0.2327803,-2.1467032
