# This is CartPole simulation from 09.01.2023 at time 02:59:02
# Done with git-revision: 6630f7e6904fd8d7b8f88cd528a2dcd0b7eeaff7
#
# Length of experiment: 27 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m: 0.087
# M: 0.23
# L: 0.45
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.3
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,u,target_position,target_equilibrium,L,u_-1
0.02,-0.73692966,-0.10248681,-16.46369,0.7405354,-0.6720174,0.15624402,-0.0460717,1.4580106,-0.18215749,0.50859374,0.15689366,-1.0,0.25108024,0.008154463
0.04,-0.74367595,-0.60553646,-29.444284,0.7359849,-0.6769979,0.15480252,-0.09518603,-4.378828,-0.17935517,-1.3741772,0.15654351,-1.0,0.25108024,0.50859374
0.06,-0.7598798,-1.0206892,-31.391205,0.7249188,-0.6888343,0.15266563,-0.10243479,-5.191154,-0.16330856,-1.6528025,0.15597127,-1.0,0.25108024,-1.3741772
0.08,-0.78409207,-1.436204,-18.575565,0.7080297,-0.7061826,0.15054773,-0.10628099,0.97821414,-0.16190083,0.05860806,0.15518619,-1.0,0.25108024,-1.6528025
0.1,-0.8164472,-1.9023759,-24.971016,0.6848145,-0.72871745,0.1484736,-0.12959121,-1.8000379,-0.12961861,-0.8728269,0.15419756,-1.0,0.25108024,0.05860806
0.12,-0.859062,-2.3829758,-23.241028,0.653148,-0.7572303,0.145537,-0.15307097,-0.58076787,0.010734888,-0.6765929,0.15301463,-1.0,0.25108024,-0.8728269
0.14,-0.9102001,-2.7852685,-20.943737,0.61358774,-0.78962654,0.14276066,-0.1279114,1.1456357,0.16844355,-0.10006753,0.15164667,-1.0,0.25108024,-0.6765929
0.16,-0.9693546,-3.1586206,-23.071676,0.5658318,-0.8245207,0.14061812,-0.07308508,0.5807542,0.35127828,-0.059042234,0.15010296,-1.0,0.25108024,-0.10006753
0.18,-1.0360247,-3.5499175,-15.225549,0.50964457,-0.86038506,0.13969423,-0.011733309,6.480275,0.51911545,1.930937,0.14839277,-1.0,0.25108024,-0.059042234
0.2,-1.1101265,-3.9249005,-23.269281,0.44454822,-0.89575493,0.14045082,0.08198876,2.1426113,0.6331925,0.9948309,0.14652535,-1.0,0.25108024,1.930937
0.22,-1.1922463,-4.350578,-20.388824,0.36957353,-0.9292015,0.14296868,0.16669935,6.0611315,0.5664276,2.4969518,0.14450999,-1.0,0.25108024,0.9948309
0.24,-1.2838175,-4.862629,-25.73948,0.2830559,-0.9591034,0.14664657,0.2045083,2.6010885,0.5820317,1.4638175,0.14235595,-1.0,0.25108024,2.4969518
0.26,-1.3857411,-5.3895125,-27.529886,0.1840008,-0.9829261,0.15123631,0.25777212,1.9811962,0.52912337,1.344598,0.1400725,-1.0,0.25108024,1.4638175
0.28,-1.4987031,-5.9631634,-28.632212,0.07203077,-0.9974024,0.15641765,0.2675381,1.8181349,0.4457101,1.1228173,0.1376689,-1.0,0.25108024,1.344598
0.3,-1.6231636,-6.5452433,-28.976208,-0.052343324,-0.99862915,0.16216315,0.33677727,-0.40449554,0.17353274,0.51055354,0.13515443,-1.0,0.25108024,1.1228173
0.32,-1.7592598,-7.120361,-28.96545,-0.18734981,-0.98229325,0.16880867,0.3291324,0.75828075,-0.2540859,0.60392666,0.13253836,-1.0,0.25108024,0.51055354
0.34,-1.9067186,-7.6617885,-20.205349,-0.32964003,-0.9441067,0.17534384,0.30648348,-7.3103414,-0.758974,-2.2115781,0.12982996,-1.0,0.25108024,0.60392666
0.36,-2.063701,-8.075021,-20.905636,-0.4731867,-0.8809622,0.18045239,0.2034977,-3.278128,-0.9554144,-1.5393744,0.1270385,-1.0,0.25108024,-2.2115781
0.38,-2.228068,-8.387456,-18.454042,-0.6109593,-0.791662,0.18347123,0.0928998,-2.442527,-0.9605877,-1.7939886,0.12417324,-1.0,0.25108024,-1.5393744
0.4,-2.3987129,-8.680872,-2.9424663,-0.7365237,-0.67641175,0.18477885,0.025582924,-7.537013,-1.0,-3.4279897,0.12124345,-1.0,0.25108024,-1.7939886
0.42,-2.5735288,-8.8286705,-10.374463,-0.84294415,-0.53800106,0.18435386,-0.063550584,-2.0210724,-1.0,-2.050865,0.1182584,-1.0,0.25108024,-3.4279897
0.44,-2.750782,-8.880772,-10.509004,-0.92460054,-0.38093805,0.18235233,-0.14569488,-0.12678564,-0.9948016,-1.603683,0.115227364,-1.0,0.25108024,-2.050865
0.46,-2.927892,-8.811315,-3.82542,-0.9772528,-0.21207784,0.17864835,-0.2311089,-0.71526027,-1.0,-1.7704622,0.11215961,-1.0,0.25108024,-1.603683
0.48,-3.1030397,-8.664903,8.092072,-0.9992569,-0.038543366,0.17338115,-0.3051583,-2.990177,-1.0,-2.2900727,0.10906441,-1.0,0.25108024,-1.7704622
0.5,3.008845,-8.39773,-3.6872346,-0.991202,0.13235803,0.16663964,-0.3851823,2.6522665,-1.0,-0.87249166,0.10595102,-1.0,0.25108024,-2.2900727
0.52,2.8437338,-8.009621,12.509987,-0.95596707,0.29347402,0.15829921,-0.47509238,-1.2734383,-1.0,-1.9973671,0.10282872,-1.0,0.25108024,-0.87249166
0.54,2.6873012,-7.601641,11.106496,-0.89857215,0.4388258,0.14810349,-0.5436426,0.7497653,-1.0,-1.5835875,0.09970678,-1.0,0.25108024,-1.9973671
0.56,2.539023,-7.1830215,23.971071,-0.8238819,0.5667615,0.13676995,-0.5905105,-2.8920949,-1.0,-2.663352,0.09659446,-1.0,0.25108024,-1.5835875
0.58,2.40013,-6.675544,17.907612,-0.73748153,0.6753673,0.12430509,-0.6499085,0.9583378,-1.0,-1.8503639,0.09350103,-1.0,0.25108024,-2.663352
0.6,2.2709117,-6.1999836,32.020702,-0.64430594,0.7647678,0.11104718,-0.67409056,-4.883328,-1.0,-3.6706018,0.09043577,-1.0,0.25108024,-1.8503639
0.62,2.1516528,-5.704088,26.642065,-0.54874015,0.835993,0.097271614,-0.6859628,-1.1894308,-1.0,-2.7355776,0.08740795,-1.0,0.25108024,-3.6706018
0.64,2.0424268,-5.1733932,30.520308,-0.45433939,0.89082867,0.08334443,-0.69958436,-3.1235592,-1.0,-3.5034773,0.08442682,-1.0,0.25108024,-2.7355776
0.66,1.9440378,-4.618907,28.00111,-0.36463562,0.9311503,0.06913088,-0.71285003,-0.5117055,-1.0,-2.9055333,0.08150167,-1.0,0.25108024,-3.5034773
0.68,1.856667,-4.0622263,26.261303,-0.2819929,0.9594165,0.05485083,-0.71252114,2.364513,-1.0,-2.141576,0.07864175,-1.0,0.25108024,-2.9055333
0.7,1.7803186,-3.5062494,29.585371,-0.20799266,0.9781304,0.04087006,-0.69495064,-1.2924222,-0.93450856,-3.3275223,0.07585635,-1.0,0.25108024,-2.141576
0.72,1.715336,-2.93767,27.396126,-0.14403689,0.98957235,0.027073126,-0.67429197,3.9561067,-0.6966972,-1.6895437,0.07315472,-1.0,0.25108024,-3.3275223
0.74,1.6616162,-2.3778772,28.327478,-0.09069508,0.9958787,0.014142483,-0.6059029,3.4565375,-0.5049797,-1.6153104,0.070546135,-1.0,0.25108024,-1.6895437
0.76,1.6191583,-1.8097967,29.170692,-0.048343092,0.9988308,0.0027564513,-0.51977974,1.110073,-0.42339963,-2.0251884,0.06803987,-1.0,0.25108024,-1.6153104
0.78,1.5881702,-1.2293336,29.342228,-0.01737297,0.9998491,-0.007021469,-0.46041667,-0.02389639,-0.39967126,-2.1596205,0.065645196,-1.0,0.25108024,-2.0251884
0.8,1.5688546,-0.6436329,29.35195,0.0019417553,0.9999981,-0.015798278,-0.38901514,4.5899115,-0.4117974,-0.39279604,0.06337137,-1.0,0.25108024,-2.1596205
0.82,1.5612644,-0.056669027,29.215488,0.009531787,0.9999546,-0.023199376,-0.35165516,-3.1082673,-0.48820198,-2.6687288,0.061227664,-1.0,0.25108024,-0.39279604
0.84,1.5654076,0.5295632,29.311583,0.005388667,0.99998546,-0.030125787,-0.3417437,1.6607623,-0.60567343,-1.1009804,0.059223354,-1.0,0.25108024,-2.6687288
0.86,1.5812694,1.1151128,29.261688,-0.010472865,0.99994516,-0.03705226,-0.3526984,0.062809475,-0.7699629,-1.6286055,0.057367705,-1.0,0.25108024,-1.1009804
0.88,1.6088481,1.7012079,29.602938,-0.038042586,0.9992761,-0.044318788,-0.37227452,-3.3345406,-0.9726663,-2.7450256,0.055669986,-1.0,0.25108024,-1.6286055
0.9,1.6482043,2.2973337,29.516119,-0.077330716,0.9970055,-0.052258044,-0.44268012,-1.640837,-1.0,-2.466929,0.054139465,-1.0,0.25108024,-2.7450256
0.92,1.699466,2.888845,28.622345,-0.12831491,0.9917335,-0.06141402,-0.47672614,0.88716614,-1.0,-1.731736,0.05278541,-1.0,0.25108024,-2.466929
0.94,1.7625593,3.483861,29.893719,-0.19058985,0.9816698,-0.071207434,-0.51457745,-2.1896265,-1.0,-2.7639246,0.051617097,-1.0,0.25108024,-1.731736
0.96,1.8375465,4.0613804,24.751362,-0.2635979,0.96463263,-0.0817956,-0.530404,4.288575,-1.0,-0.6804607,0.050643787,-1.0,0.25108024,-2.7639246
0.98,1.9239095,4.639704,29.073479,-0.3458206,0.93830067,-0.092509344,-0.5539527,-1.6812357,-1.0,-2.514463,0.049874753,-1.0,0.25108024,-0.6804607
