# This is CartPole simulation from 09.01.2023 at time 06:32:23
# Done with git-revision: 6630f7e6904fd8d7b8f88cd528a2dcd0b7eeaff7
#
# Length of experiment: 1.5 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m: 0.087
# M: 0.23
# L: 0.45
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.3
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,u,target_position,target_equilibrium,L,u_-1
0.02,0.45485058,-0.24037953,33.263287,0.8983267,0.4393281,-0.07503132,-0.08552385,6.030739,-0.29754376,0.9339171,-0.07337593,1.0,0.21939799,-0.60151315
0.04,0.45314148,0.06962297,24.607384,0.8990762,0.43779212,-0.07659516,-0.08030198,3.2306325,-0.37231052,0.21881762,-0.07337593,1.0,0.21939799,0.9339171
0.06,0.45727822,0.31366065,23.169271,0.8972575,0.4415076,-0.078169055,-0.09669141,2.731257,-0.39592296,0.008610657,-0.07337593,1.0,0.21939799,0.21881762
0.08,0.46683365,0.6385318,28.397175,0.8929978,0.450061,-0.079904504,-0.087939315,4.3676577,-0.37040552,0.48454374,-0.07337593,1.0,0.21939799,0.008610657
0.1,0.48277867,0.9228999,5.928912,0.8857084,0.46424204,-0.0815183,-0.09484893,-3.170048,-0.3032148,-1.5500218,-0.07337593,1.0,0.21939799,0.48454374
0.12,0.50452244,1.2789882,8.675041,0.87540543,0.48338944,-0.0832613,-0.081501484,-2.4989376,-0.170792,-1.310787,-0.07337593,1.0,0.21939799,-1.5500218
0.14,0.5329136,1.621759,16.53849,0.86133045,0.5080451,-0.08493591,-0.07716822,-0.14473635,-0.0028859582,-0.660374,-0.07337593,1.0,0.21939799,-1.310787
0.16,0.5688999,2.0694642,24.589699,0.8424941,0.5387056,-0.08632456,-0.042827822,2.2975159,0.19381636,0.1726289,-0.07337593,1.0,0.21939799,-0.660374
0.18,0.6147728,2.551073,30.032433,0.8169045,0.5767729,-0.08676491,-0.0037922293,3.8690903,0.39931208,0.8117717,-0.07337593,1.0,0.21939799,0.1726289
0.2,0.6718828,3.225811,39.69049,0.78265107,0.62246066,-0.08591453,0.09721547,7.0869336,0.6315816,2.2409766,-0.07337593,1.0,0.21939799,0.8117717
0.22,0.7425788,3.8577936,33.971577,0.73672724,0.67619,-0.083077066,0.17399429,4.5536947,0.8223619,1.9878402,-0.07337593,1.0,0.21939799,2.2409766
0.24,0.82592845,4.5330744,37.9641,0.6778747,0.7351775,-0.07876737,0.25924435,5.8313785,0.9885349,2.8822808,-0.07337593,1.0,0.21939799,1.9878402
0.26,0.9228177,5.25979,35.752014,0.60357594,0.79730546,-0.07281341,0.35934687,4.483086,1.0,3.14436,-0.07337593,1.0,0.21939799,2.8822808
0.28,1.0335898,5.8865147,33.390453,0.51173794,0.8591416,-0.06526942,0.3999383,2.7683113,1.0,3.0273485,-0.07337593,1.0,0.21939799,3.14436
