# This is CartPole simulation from 09.01.2023 at time 06:28:20
# Done with git-revision: 6630f7e6904fd8d7b8f88cd528a2dcd0b7eeaff7
#
# Length of experiment: 1.5 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m: 0.087
# M: 0.23
# L: 0.45
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.3
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,u,target_position,target_equilibrium,L,u_-1
0.02,1.8005502,0.3881613,15.872438,-0.22773789,0.97372246,-0.001070903,-0.058133405,3.7076037,0.21300438,1.0326219,-2.0851478e-05,1.0,0.411333,0.39849353
0.04,1.8113085,0.72098637,16.369596,-0.2382001,0.9712161,-0.0019085248,-0.022570906,2.287092,0.35614437,0.77494985,-2.0851478e-05,1.0,0.411333,1.0326219
0.06,1.8287108,1.0516204,17.401031,-0.25506455,0.966924,-0.0020439904,0.01307696,-0.2560671,0.5191261,0.17830269,-2.0851478e-05,1.0,0.411333,0.77494985
0.08,1.8525982,1.3661721,15.412913,-0.27808687,0.9605559,-0.0012583468,0.07522965,3.4535582,0.69832885,1.671164,-2.0851478e-05,1.0,0.411333,0.17830269
0.1,1.8826056,1.6703181,13.6474905,-0.3067811,0.9517801,0.0010117285,0.14711033,5.999094,0.8390032,2.8482845,-2.0851478e-05,1.0,0.411333,1.671164
0.12,1.9188234,1.9724758,12.419994,-0.34104377,0.94004744,0.0043666125,0.20789114,7.0267057,0.9448447,3.501571,-2.0851478e-05,1.0,0.411333,2.8482845
0.14,1.9608229,2.2578506,15.0008545,-0.38021302,0.9248989,0.009243466,0.28174382,2.183924,1.0,2.40906,-2.0851478e-05,1.0,0.411333,3.501571
0.16,2.008589,2.5442424,16.391912,-0.42394137,0.90568966,0.015364835,0.33780342,-0.29014274,1.0,1.977833,-2.0851478e-05,1.0,0.411333,2.40906
0.18,2.0620015,2.8252637,16.086975,-0.47168887,0.88176507,0.022576213,0.38550133,-0.40795335,1.0,2.23294,-2.0851478e-05,1.0,0.411333,1.977833
0.2,2.1211085,3.1172578,13.756995,-0.5229534,0.85236126,0.030516772,0.40586352,1.5201086,1.0,2.9716997,-2.0851478e-05,1.0,0.411333,2.23294
0.22,2.1860812,3.4041061,13.302127,-0.5771912,0.8166091,0.03871387,0.41745904,1.1983602,1.0,2.9845557,-2.0851478e-05,1.0,0.411333,2.9716997
0.24,2.2568147,3.695596,17.517902,-0.63346136,0.7737743,0.047004156,0.4111392,-3.2246318,0.93492514,1.7142174,-2.0851478e-05,1.0,0.411333,2.9845557
0.26,2.3331463,3.9412224,18.587849,-0.6906229,0.72321504,0.05523974,0.429045,-4.5280704,0.76756537,1.4725527,-2.0851478e-05,1.0,0.411333,1.7142174
0.28,2.4148023,4.238912,5.6900377,-0.747311,0.6644745,0.06338084,0.39098048,4.5071125,0.52603114,3.8731692,-2.0851478e-05,1.0,0.411333,1.4725527
0.3,2.5022697,4.5675654,16.797232,-0.8024999,0.5966522,0.07076629,0.31883603,-4.2256603,0.2386332,1.1091552,-2.0851478e-05,1.0,0.411333,3.8731692
0.32,2.5964313,4.8835635,22.298983,-0.8550436,0.5185561,0.07649616,0.24198537,-8.393518,-0.12289049,-0.38158792,-2.0851478e-05,1.0,0.411333,1.1091552
0.34,2.698082,5.291857,20.328476,-0.90325075,0.42911312,0.07982048,0.09262994,-7.7236586,-0.46558812,-0.9194313,-2.0851478e-05,1.0,0.411333,-0.38158792
0.36,2.8074894,5.6925564,25.965687,-0.9447048,0.32792214,0.08030405,-0.06451572,-11.711148,-0.8873837,-2.7620718,-2.0851478e-05,1.0,0.411333,-0.9194313
0.38,2.9257653,6.1320252,9.733879,-0.97679955,0.21415569,0.077012785,-0.26007482,-3.3583746,-1.0,-1.6767359,-2.0851478e-05,1.0,0.411333,-2.7620718
0.4,3.0508125,6.376659,4.1521277,-0.99588233,0.090655535,0.07078837,-0.36532766,-1.4383487,-1.0,-1.9186786,-2.0851478e-05,1.0,0.411333,-1.6767359
0.42,-3.1032023,6.511791,11.641885,-0.99926317,-0.038380884,0.06267409,-0.43399563,-6.8119493,-1.0,-3.8714788,-2.0851478e-05,1.0,0.411333,-1.9186786
0.44,-2.9726381,6.533829,-0.92145294,-0.9857611,-0.16815186,0.053676337,-0.4661916,-1.2070365,-1.0,-2.8957617,-2.0851478e-05,1.0,0.411333,-3.8714788
0.46,-2.8426178,6.4461117,-4.980169,-0.95563895,-0.29454073,0.04434748,-0.4631105,-0.21256313,-1.0,-2.8847132,-2.0851478e-05,1.0,0.411333,-2.8957617
0.48,-2.714648,6.2978706,-2.2682223,-0.91023517,-0.41409165,0.035020754,-0.44993594,-3.1445093,-1.0,-3.8046436,-2.0851478e-05,1.0,0.411333,-2.8847132
0.5,-2.590183,6.118045,-12.270165,-0.85178685,-0.52388847,0.026053231,-0.4423118,1.8166662,-1.0,-2.6097047,-2.0851478e-05,1.0,0.411333,-3.8046436
0.52,-2.4698493,5.8875494,-10.746079,-0.7827379,-0.6223515,0.017360209,-0.4253761,-0.32293794,-1.0,-3.2044249,-2.0851478e-05,1.0,0.411333,-2.6097047
0.54,-2.3545663,5.597908,-11.645387,-0.70595455,-0.70825714,0.009123736,-0.38742697,-0.8502909,-1.0,-3.2060158,-2.0851478e-05,1.0,0.411333,-3.2044249
0.56,-2.2449195,5.3102503,-17.787556,-0.62421256,-0.78125453,0.0013428523,-0.36921865,3.2909846,-1.0,-1.9036496,-2.0851478e-05,1.0,0.411333,-3.2060158
0.58,-2.1417742,4.9793286,-15.216523,-0.54045504,-0.8413729,-0.005611158,-0.33245897,0.10501952,-1.0,-2.593359,-2.0851478e-05,1.0,0.411333,-1.9036496
0.6,-2.0447497,4.687148,-14.57326,-0.45640746,-0.88977087,-0.012473571,-0.35196358,-1.6844151,-1.0,-3.150384,-2.0851478e-05,1.0,0.411333,-2.593359
0.62,-1.9537933,4.3752985,-17.200377,-0.37370196,-0.9275488,-0.019662177,-0.3704492,0.81247455,-1.0,-2.3749397,-2.0851478e-05,1.0,0.411333,-3.150384
0.64,-1.8692278,4.0419493,-18.544048,-0.29402134,-0.95579886,-0.027199458,-0.37668356,2.604396,-1.0,-1.7251105,-2.0851478e-05,1.0,0.411333,-2.3749397
0.66,-1.7914326,3.700241,-18.020311,-0.21885054,-0.9757584,-0.034866687,-0.38576266,1.3026805,-1.0,-2.0463653,-2.0851478e-05,1.0,0.411333,-1.7251105
0.68,-1.7206615,3.3465192,-16.539448,-0.14930484,-0.9887912,-0.04240076,-0.38463676,-4.3699827,-1.0,-3.7046542,-2.0851478e-05,1.0,0.411333,-2.0463653
0.7,-1.6568888,2.994359,-17.319399,-0.085986204,-0.99629635,-0.05026076,-0.40116975,-3.4408486,-0.74195397,-3.3772974,-2.0851478e-05,1.0,0.411333,-3.7046542
0.72,-1.6002209,2.6356487,-18.134243,-0.029420346,-0.99956715,-0.05824304,-0.38944045,4.128127,-0.43031892,-0.8165919,-2.0851478e-05,1.0,0.411333,-3.3772974
0.74,-1.5507538,2.2761881,-17.64446,0.020041155,-0.99979913,-0.06543428,-0.3346444,7.3315654,-0.10095533,0.5551357,-2.0851478e-05,1.0,0.411333,-0.8165919
0.76,-1.5084122,1.9228425,-16.681988,0.062343627,-0.99805474,-0.071373075,-0.2642135,10.509705,0.2043034,1.976441,-2.0851478e-05,1.0,0.411333,0.5551357
0.78,-1.4730394,1.580653,-16.045044,0.09760131,-0.9952256,-0.07561563,-0.1585212,9.983448,0.48230833,2.375665,-2.0851478e-05,1.0,0.411333,1.976441
0.8,-1.444406,1.2493942,-16.357391,0.12605406,-0.99202335,-0.0776002,-0.035706833,6.1034408,0.6844312,1.7828408,-2.0851478e-05,1.0,0.411333,2.375665
0.82,-1.4224303,0.9163163,-15.546132,0.14782234,-0.9890139,-0.0775634,0.050867338,7.9990954,0.78231156,2.8308718,-2.0851478e-05,1.0,0.411333,1.7828408
0.84,-1.4070356,0.58997476,-16.878952,0.16302978,-0.98662114,-0.07563633,0.14739414,2.611277,0.85985047,1.6170303,-2.0851478e-05,1.0,0.411333,2.8308718
0.86,-1.3982294,0.25681943,-16.167183,0.17171176,-0.98514724,-0.07208398,0.21176331,4.6548634,0.87509644,2.5827227,-2.0851478e-05,1.0,0.411333,1.6170303
0.88,-1.3960965,-0.08149175,-15.948383,0.17381257,-0.98477876,-0.067314655,0.25633544,5.254597,0.8020439,2.987393,-2.0851478e-05,1.0,0.411333,2.5827227
0.9,-1.4007246,-0.41691923,-16.664003,0.16925299,-0.98557264,-0.061643243,0.31007373,3.1094375,0.6836808,2.5595446,-2.0851478e-05,1.0,0.411333,2.987393
0.92,-1.4121702,-0.7615192,-18.178453,0.15796176,-0.98744524,-0.055225164,0.33717063,-1.8254142,0.5277344,1.1119149,-2.0851478e-05,1.0,0.411333,2.5595446
0.94,-1.4306055,-1.1209699,-18.41912,0.13973203,-0.9901894,-0.0485735,0.314521,-2.8334877,0.3424301,0.6496269,-2.0851478e-05,1.0,0.411333,1.1119149
0.96,-1.4563265,-1.4867874,-19.248468,0.114220016,-0.99345547,-0.04275013,0.26635623,-7.1904755,0.12096222,-1.0087723,-2.0851478e-05,1.0,0.411333,0.6496269
0.98,-1.4893794,-1.8526988,-18.156065,0.081327,-0.9966875,-0.038028106,0.2110292,-2.3734214,-0.1291951,0.18464737,-2.0851478e-05,1.0,0.411333,-1.0087723
1.0,-1.5296865,-2.2153463,-18.368902,0.041098297,-0.9991551,-0.03417563,0.15313153,-7.00952,-0.40083694,-1.6400449,-2.0851478e-05,1.0,0.411333,0.18464737
1.02,-1.577261,-2.576363,-17.772064,-0.006464599,-0.9999791,-0.03207614,0.06432008,-6.93222,-0.6350443,-2.132348,-2.0851478e-05,1.0,0.411333,-1.6400449
1.04,-1.6319634,-2.92759,-17.203249,-0.06112891,-0.9981299,-0.031803984,-0.041820396,-5.4995675,-0.8325103,-2.2866194,-2.0851478e-05,1.0,0.411333,-2.132348
1.06,-1.6935819,-3.2696304,-16.54326,-0.12247732,-0.99247134,-0.03362949,-0.13178414,-5.2275,-1.0,-2.7379253,-2.0851478e-05,1.0,0.411333,-2.2866194
1.08,-1.7619653,-3.6003737,-15.198952,-0.19000667,-0.9817828,-0.037016038,-0.21129091,-6.6858873,-1.0,-3.686062,-2.0851478e-05,1.0,0.411333,-2.7379253
1.1,-1.8369247,-3.9358504,-14.695997,-0.26299804,-0.96479636,-0.041771468,-0.24517496,-5.236638,-1.0,-3.5026543,-2.0851478e-05,1.0,0.411333,-3.686062
1.12,-1.918345,-4.2478876,-16.569958,-0.34059402,-0.94021046,-0.04741658,-0.30058983,-0.3115014,-1.0,-2.3416553,-2.0851478e-05,1.0,0.411333,-3.5026543
1.14,-2.006191,-4.5662303,-13.811585,-0.42176828,-0.90670365,-0.053585954,-0.31775922,-3.0537674,-1.0,-3.3687599,-2.0851478e-05,1.0,0.411333,-2.3416553
1.16,-2.1001136,-4.860197,-13.062276,-0.5049442,-0.86315197,-0.0602876,-0.34551302,-2.5144162,-1.0,-3.4108398,-2.0851478e-05,1.0,0.411333,-3.3687599
1.18,-2.200041,-5.177801,-16.113705,-0.5885343,-0.8084722,-0.06720369,-0.3280214,1.601477,-0.80807436,-2.172024,-2.0851478e-05,1.0,0.411333,-3.4108398
1.2,-2.3064063,-5.4873157,-16.925064,-0.6710395,-0.7414216,-0.073520616,-0.29998147,3.0511448,-0.50365627,-1.669044,-2.0851478e-05,1.0,0.411333,-2.172024
1.22,-2.4192564,-5.8437214,-13.355482,-0.7502632,-0.66113925,-0.07889291,-0.21900891,1.1726317,-0.11461817,-1.8394786,-2.0851478e-05,1.0,0.411333,-1.669044
1.24,-2.5396395,-6.2293887,-31.457777,-0.82423115,-0.5662534,-0.08223141,-0.10325357,14.245277,0.28984433,2.30901,-2.0851478e-05,1.0,0.411333,-1.8394786
1.26,-2.6682615,-6.631695,-25.22938,-0.8900547,-0.4558537,-0.08277879,0.03805336,10.573852,0.71495456,2.01239,-2.0851478e-05,1.0,0.411333,2.30901
1.28,-2.804907,-7.057483,-14.38777,-0.9438548,-0.33036056,-0.080400445,0.2085932,4.9788938,1.0,1.498482,-2.0851478e-05,1.0,0.411333,2.01239
1.3,-2.949194,-7.381317,-4.8965216,-0.98154837,-0.19121388,-0.074960046,0.3395962,0.8774152,1.0,1.3532003,-2.0851478e-05,1.0,0.411333,1.498482
1.32,-3.0982935,-7.532832,-4.0995255,-0.9990627,-0.043285586,-0.06761394,0.3996943,1.8781134,1.0,2.267439,-2.0851478e-05,1.0,0.411333,1.3532003
1.34,3.033025,-7.6484118,7.6860247,-0.9941123,0.10835447,-0.058951754,0.46905324,-3.117319,1.0,1.749457,-2.0851478e-05,1.0,0.411333,2.267439
1.36,2.8809936,-7.5576167,-5.2386684,-0.9662358,0.2576594,-0.049814995,0.45478266,5.6441216,1.0,4.3040166,-2.0851478e-05,1.0,0.411333,1.749457
1.38,2.7306235,-7.414024,22.474533,-0.9167341,0.399498,-0.04061644,0.43888465,-9.114042,1.0,0.727475,-2.0851478e-05,1.0,0.411333,4.3040166
1.4,2.585034,-7.15921,16.820364,-0.849078,0.5282675,-0.03260762,0.38501877,-4.7024064,1.0,1.8259048,-2.0851478e-05,1.0,0.411333,0.727475
1.42,2.4442978,-6.8951793,12.427132,-0.7665821,0.64214635,-0.025320748,0.3487151,-0.6104502,1.0,2.9033117,-2.0851478e-05,1.0,0.411333,1.8259048
1.44,2.3089788,-6.6039176,22.628447,-0.6729446,0.73969287,-0.018649224,0.31576136,-7.5903945,1.0,0.7993945,-2.0851478e-05,1.0,0.411333,2.9033117
1.46,2.17982,-6.2927594,18.384779,-0.572067,0.8202069,-0.012704274,0.28935945,-3.4835613,1.0,1.8146288,-2.0851478e-05,1.0,0.411333,0.7993945
1.48,2.0566857,-5.984568,13.234668,-0.46699497,0.88426,-0.0069147893,0.28654733,3.1219275,1.0,3.7109933,-2.0851478e-05,1.0,0.411333,1.8146288
1.5,1.9398092,-5.6586995,16.58549,-0.36069492,0.9326839,-0.0010881672,0.2854687,0.25769407,1.0,2.726218,-2.0851478e-05,1.0,0.411333,3.7109933
,,,,,,,,,,,,,,2.726218
