# This is CartPole simulation from 09.01.2023 at time 05:42:22
# Done with git-revision: 6630f7e6904fd8d7b8f88cd528a2dcd0b7eeaff7
#
# Length of experiment: 27 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m: 0.087
# M: 0.23
# L: 0.45
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.3
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,u,target_position,target_equilibrium,L,u_-1
0.02,0.97217846,0.27414593,24.200989,0.5635012,0.82611525,-0.10979503,0.0025007206,1.4682636,0.076526366,0.15056774,-0.109464325,1.0,0.276705,-1.4458945
0.04,0.98182374,0.7252464,24.586117,0.555507,0.83151186,-0.10961,0.009671738,1.6583074,0.17874183,0.2535586,-0.10895099,1.0,0.276705,0.15056774
0.06,1.0006107,1.2177433,32.40978,0.5397883,0.8418008,-0.10921943,0.042464714,6.8764787,0.33695936,1.9913024,-0.10811202,1.0,0.276705,0.2535586
0.08,1.0299293,1.7519656,29.897564,0.51487947,0.8572626,-0.10773347,0.10068192,5.1251907,0.5164463,1.7977054,-0.106961034,1.0,0.276705,1.9913024
0.1,1.0700948,2.3015127,29.329782,0.48004103,0.877246,-0.104986265,0.16673894,4.6642823,0.69537646,2.0468442,-0.105511606,1.0,0.276705,1.7977054
0.12,1.1211137,2.85998,29.867813,0.43467978,0.90058506,-0.10104431,0.23732825,5.0943065,0.85591054,2.6117404,-0.10377733,1.0,0.276705,2.0468442
0.14,1.1835437,3.4230838,31.95792,0.37764594,0.92595005,-0.0955114,0.30822265,7.26218,0.99925196,3.7429886,-0.10177179,1.0,0.276705,2.6117404
0.16,1.2572359,3.9768877,28.246033,0.30844745,0.9512414,-0.08855296,0.36642924,3.6658175,1.0,3.0623655,-0.099508576,1.0,0.276705,3.7429886
0.18,1.3414813,4.4909096,26.775879,0.22731051,0.97382236,-0.08104978,0.37117887,1.6371117,1.0,2.6157744,-0.09700128,1.0,0.276705,3.0623655
0.2,1.4360609,5.0219903,27.592806,0.13432813,0.99093693,-0.073454544,0.3949895,3.8052387,1.0,3.6027691,-0.09426349,1.0,0.276705,2.6157744
0.22,1.5413581,5.557956,26.139362,0.029433962,0.99956673,-0.06516315,0.4302161,-3.5392797,1.0,1.6549816,-0.09130879,1.0,0.276705,3.6027691
