# This is CartPole simulation from 09.01.2023 at time 05:25:21
# Done with git-revision: 6630f7e6904fd8d7b8f88cd528a2dcd0b7eeaff7
#
# Length of experiment: 27 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m: 0.087
# M: 0.23
# L: 0.45
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.3
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,u,target_position,target_equilibrium,L,u_-1
0.02,-1.1666512,-0.48213392,-16.557611,0.39323288,-0.9194389,-0.15745234,-0.003151209,-1.9385335,0.087363325,-0.38687226,-0.15718448,1.0,0.44294715,0.82773674
0.04,-1.1790309,-0.7906262,-15.33663,0.3818207,-0.9242364,-0.15749347,-0.0070862244,0.010150579,0.08729805,0.17281589,-0.15651645,1.0,0.44294715,-0.38687226
0.06,-1.197531,-1.0908638,-16.629093,0.36465788,-0.93114156,-0.15751141,0.004821036,-1.9022164,0.05703254,-0.38902423,-0.15542465,1.0,0.44294715,0.17281589
0.08,-1.222167,-1.3992008,-18.778791,0.34160993,-0.9398418,-0.15746269,0.008366234,-5.5030932,-0.015330634,-1.5282682,-0.1539268,1.0,0.44294715,-0.38902423
0.1,-1.2530996,-1.7235008,-17.134094,0.31237942,-0.94995743,-0.15752788,-0.011029186,-2.5975733,-0.09843746,-0.77852225,-0.15204059,1.0,0.44294715,-1.5282682
0.12,-1.2904319,-2.0440226,-15.674804,0.27670592,-0.96095467,-0.15778144,-0.018649649,0.5645939,-0.20055091,0.10244213,-0.14978366,1.0,0.44294715,-0.77852225
0.14,-1.3343658,-2.3780322,-16.553482,0.23423392,-0.97218025,-0.15854041,-0.048758816,-1.087643,-0.3155106,-0.639804,-0.14717373,1.0,0.44294715,0.10244213
0.16,-1.3850032,-2.7209773,-17.242485,0.18472606,-0.98279005,-0.1599588,-0.101726785,-3.0305765,-0.44518912,-1.6035882,-0.14422847,1.0,0.44294715,-0.639804
0.18,-1.4424199,-3.0533316,-16.854557,0.12802412,-0.99177104,-0.16218446,-0.120104425,-1.911907,-0.5643542,-1.4521312,-0.14096558,1.0,0.44294715,-1.6035882
0.2,-1.5064912,-3.3879626,-16.803602,0.06426083,-0.99793315,-0.164808,-0.15035632,-2.4338076,-0.65386426,-1.8885224,-0.13740273,1.0,0.44294715,-1.4521312
0.22,-1.5772446,-3.720119,-16.55672,-0.006448268,-0.9999792,-0.16797519,-0.16023058,-1.1361305,-0.716521,-1.6618726,-0.1335576,1.0,0.44294715,-1.8885224
0.24,-1.6546234,-4.0487747,-16.338089,-0.083728924,-0.9964886,-0.1712681,-0.18306191,-1.1952238,-0.6872679,-1.9343007,-0.12944789,1.0,0.44294715,-1.6618726
0.26,-1.7385886,-4.3803887,-18.355417,-0.16700602,-0.9859559,-0.17480288,-0.16905376,7.166389,-0.48598522,0.61818254,-0.12509128,1.0,0.44294715,-1.9343007
0.28,-1.8291821,-4.70941,-18.708675,-0.25552028,-0.96680367,-0.17797102,-0.15306501,6.2440457,-0.06256902,0.23871207,-0.12050546,1.0,0.44294715,0.61818254
0.3,-1.9266238,-5.0736995,-18.586952,-0.34836614,-0.93735856,-0.18019654,-0.057453297,5.2094913,-0.011491479,0.19795194,-0.1157081,1.0,0.44294715,0.23871207
0.32,-2.031381,-5.4360957,-21.21245,-0.4444718,-0.89579284,-0.18051611,0.030532671,8.494418,0.33451718,1.4549131,-0.110716894,1.0,0.44294715,0.19795194
0.34,-2.1436827,-5.820727,-19.3937,-0.54205984,-0.84033984,-0.17870477,0.14824133,5.9917235,0.385769,1.104185,-0.105549514,1.0,0.44294715,1.4549131
0.36,-2.2634199,-6.1955414,-17.374289,-0.6385584,-0.7695734,-0.17483486,0.2557289,4.3094983,0.50313,1.0200354,-0.10022366,1.0,0.44294715,1.104185
0.38,-2.3905175,-6.5565963,-15.486465,-0.73095554,-0.6824251,-0.1688665,0.35879996,3.412235,0.6939294,1.2263932,-0.09475701,1.0,0.44294715,1.0200354
0.4,-2.5245247,-6.8707294,-18.955292,-0.8155786,-0.57864636,-0.16096853,0.43856797,6.820894,0.900062,2.6057732,-0.08916725,1.0,0.44294715,1.2263932
0.42,-2.6649902,-7.178632,-21.578085,-0.88855875,-0.4587629,-0.15118545,0.53292245,9.3297615,1.0,3.8496497,-0.083472066,1.0,0.44294715,2.6057732
0.44,-2.8109066,-7.385538,-13.975902,-0.94581985,-0.32469195,-0.13980816,0.5826915,5.409908,1.0,3.3024719,-0.07768913,1.0,0.44294715,3.8496497
0.46,-2.9603043,-7.522717,4.136824,-0.98361224,-0.180297,-0.12763152,0.6151788,-4.2324643,1.0,1.3563217,-0.07183615,1.0,0.44294715,3.3024719
0.48,-3.1108608,-7.515051,2.1834695,-0.9995278,-0.030726992,-0.11550896,0.58926713,-1.5429564,1.0,2.3389168,-0.06593079,1.0,0.44294715,1.3563217
0.5,3.022298,-7.468178,3.601652,-0.99289286,0.119011804,-0.10386086,0.5697679,-0.9176895,1.0,2.8204875,-0.05999074,1.0,0.44294715,2.3389168
0.52,2.8739038,-7.316088,9.561566,-0.9643848,0.26450336,-0.092754655,0.51596606,-3.1157525,1.0,2.374392,-0.05403369,1.0,0.44294715,2.8204875
0.54,2.7295637,-7.110367,11.018753,-0.9163102,0.4004693,-0.08309469,0.45645922,-2.7642407,1.0,2.4703658,-0.048077315,1.0,0.44294715,2.374392
0.56,2.5897746,-6.84965,13.675071,-0.8515728,0.5242363,-0.074690394,0.38547197,-3.3928394,1.0,2.1597798,-0.042139307,1.0,0.44294715,2.4703658
0.58,2.45479,-6.6221676,12.368438,-0.77327734,0.63406795,-0.06721836,0.36019242,-1.3469746,1.0,2.7312353,-0.036237348,1.0,0.44294715,2.1597798
0.6,2.3246872,-6.374811,8.710775,-0.68448055,0.72903115,-0.060290776,0.34437692,2.9929276,1.0,3.9629035,-0.030389123,1.0,0.44294715,2.7312353
0.62,2.199503,-6.103216,15.580226,-0.5880992,0.8087888,-0.053456727,0.32933304,-2.08776,1.0,2.4231744,-0.024612315,1.0,0.44294715,3.9629035
0.64,2.0801146,-5.8047333,13.484326,-0.48758218,0.8730771,-0.047072254,0.309479,1.3100421,1.0,3.2785385,-0.01892461,1.0,0.44294715,2.4231744
0.66,1.966778,-5.493723,14.271066,-0.3857141,0.9226183,-0.04100832,0.29330546,1.7061566,1.0,3.225111,-0.013343693,1.0,0.44294715,3.2785385
0.68,1.8595887,-5.194628,15.796835,-0.28479484,0.9585885,-0.03495501,0.3187774,0.37887502,1.0,2.8108509,-0.007887246,1.0,0.44294715,3.225111
0.7,1.7586273,-4.8662095,16.513493,-0.18672846,0.98241156,-0.02866711,0.30594882,-0.44867173,1.0,2.332467,-0.0025729546,1.0,0.44294715,2.8108509
0.72,1.6642826,-4.5391054,16.128988,-0.09335012,0.99563336,-0.022596207,0.3228234,2.9018812,1.0,3.3083029,0.0025814963,1.0,0.44294715,2.332467
0.74,1.5764613,-4.2087064,16.670345,-0.005664958,0.99998397,-0.01590498,0.34185147,-1.4644231,0.92524344,1.8526411,0.0075584226,1.0,0.44294715,3.3083029
0.76,1.4952898,-3.8749619,15.893553,0.0754348,0.9971507,-0.008902425,0.35956696,-5.5745487,0.7587833,0.47878823,0.01234014,1.0,0.44294715,1.8526411
0.78,1.4207355,-3.5466225,16.014874,0.1494983,0.98876196,-0.001992328,0.3413903,-1.768852,0.5695027,1.4547259,0.016908962,1.0,0.44294715,0.47878823
0.8,1.3526801,-3.228092,15.141455,0.21639088,0.9763068,0.0045753024,0.31221774,-3.0316687,0.36232132,0.7940332,0.021247208,1.0,0.44294715,1.4547259
0.82,1.2909385,-2.9143567,14.732699,0.27621904,0.96109474,0.010581054,0.28981602,-2.7013705,0.1457577,0.68384,0.025337191,1.0,0.44294715,0.7940332
0.84,1.2353414,-2.6219447,15.207305,0.32919875,0.94426066,0.01602135,0.24140573,-0.9077528,-0.08170968,0.9209813,0.029161228,1.0,0.44294715,0.68384
0.86,1.1853112,-2.359047,12.618809,0.37600872,0.92661613,0.020149631,0.15961628,-4.3956113,-0.30997932,-0.61616474,0.03270163,1.0,0.44294715,0.9209813
0.88,1.1403587,-2.1182609,13.708135,0.41726857,0.9087832,0.022529956,0.06293145,-1.9961573,-0.5260127,-0.3958848,0.03594072,1.0,0.44294715,-0.61616474
0.9,1.1001129,-1.8878635,8.161418,0.4534955,0.8912586,0.02297966,-0.031232283,-8.677907,-0.72935134,-2.9200943,0.03886081,1.0,0.44294715,-0.3958848
0.92,1.0643404,-1.6712158,11.806084,0.48508114,0.87446916,0.021496527,-0.12869583,-3.3329601,-0.90389615,-1.7970021,0.041444212,1.0,0.44294715,-2.9200943
0.94,1.0327718,-1.4521711,3.8240786,0.51244056,0.8587227,0.018023554,-0.21148796,-12.050187,-1.0,-4.834439,0.043673247,1.0,0.44294715,-1.7970021
0.96,1.005688,-1.2220051,10.577636,0.5355073,0.8445306,0.013107877,-0.27190498,-3.8200443,-1.0,-2.6776268,0.045530226,1.0,0.44294715,-4.834439
0.98,0.9833701,-0.9906323,15.456651,0.5542205,0.83236986,0.00723894,-0.32345012,1.7261441,-1.0,-1.2943089,0.04699747,1.0,0.44294715,-2.6776268
1.0,0.96558875,-0.76768905,13.007784,0.5689328,0.822384,0.00029452855,-0.37837884,-0.68588084,-1.0,-2.2888045,0.04805729,1.0,0.44294715,-1.2943089
1.02,0.95253843,-0.5223645,13.73383,0.5796164,0.81488943,-0.0074276333,-0.40588766,0.19615254,-1.0,-2.1720984,0.048692003,1.0,0.44294715,-2.2888045
1.04,0.94430745,-0.27407452,15.516845,0.58630407,0.8100911,-0.015765097,-0.4279013,2.073015,-1.0,-1.7321869,0.04888556,1.0,0.44294715,-2.1720984
1.06,0.94096977,-0.033408582,11.874085,0.5890046,0.80812967,-0.024601102,-0.45615587,-1.5537732,-1.0,-2.937894,0.04893906,1.0,0.44294715,-1.7321869
1.08,0.9425871,0.2354779,13.195054,0.58769685,0.80908126,-0.033855293,-0.45576254,-0.24266051,-1.0,-2.54802,0.049082693,1.0,0.44294715,-2.937894
1.1,0.9496645,0.50943756,13.265637,0.58195597,0.81322026,-0.04302361,-0.4509566,-0.24013986,-1.0,-2.5165558,0.049312834,1.0,0.44294715,-2.54802
1.12,0.962269,0.7766505,11.987544,0.57165974,0.8204908,-0.052062187,-0.45487103,-1.6866313,-1.0,-2.9494069,0.04962587,1.0,0.44294715,-2.5165558
1.14,0.9800652,1.0398588,11.540475,0.5569684,0.83053374,-0.06136262,-0.465805,-2.3790033,-0.99020743,-3.1891253,0.05001817,1.0,0.44294715,-2.9494069
1.16,1.0032508,1.3078856,11.942855,0.537564,0.843223,-0.070787095,-0.47595784,-2.251133,-0.88148946,-3.1757493,0.050486118,1.0,0.44294715,-3.1891253
1.18,1.0319477,1.6092293,11.907051,0.51314807,0.8583001,-0.08029231,-0.45386142,-2.6838744,-0.6179069,-3.1655138,0.051026087,1.0,0.44294715,-3.1757493
1.2,1.0668591,1.9276588,19.915907,0.48287702,0.8756882,-0.089189075,-0.416631,6.5943556,-0.31256807,-0.1421261,0.05163446,1.0,0.44294715,-3.1655138
1.22,1.108723,2.284895,22.432737,0.44580492,0.89513016,-0.0966745,-0.33623114,10.054365,-0.007472262,1.378113,0.052307613,1.0,0.44294715,-0.1421261
1.24,1.1578383,2.6550684,16.732481,0.40132043,0.9159377,-0.1024142,-0.23949434,2.2775197,0.31867194,-0.4303676,0.053041924,1.0,0.44294715,1.378113
1.26,1.2143621,3.0328555,19.594244,0.34893477,0.937147,-0.10617861,-0.1289849,6.873915,0.63826287,1.632482,0.053833768,1.0,0.44294715,-0.4303676
1.28,1.2785375,3.4161124,18.75924,0.288116,0.9575955,-0.10751144,-0.0025783207,5.925682,0.93358886,2.0885026,0.054679528,1.0,0.44294715,1.632482
1.3,1.3502452,3.7789514,18.286814,0.21876739,0.97577703,-0.106452785,0.091826044,5.724179,1.0,2.6353955,0.055575576,1.0,0.44294715,2.0885026
1.32,1.4290562,4.1321483,18.136433,0.14126603,0.9899717,-0.103714205,0.17760228,7.2663765,1.0,3.7032685,0.056518298,1.0,0.44294715,2.6353955
1.34,1.5147942,4.4710975,16.938654,0.055972826,0.9984323,-0.099542014,0.22387795,4.257216,1.0,3.1500611,0.05750406,1.0,0.44294715,3.7032685
1.36,1.6072234,4.8037333,16.535032,-0.03641901,0.9993366,-0.094655216,0.25928566,0.1867984,1.0,2.2078843,0.058529254,1.0,0.44294715,3.1500611
1.38,1.706239,5.13036,16.156673,-0.13502893,0.9908416,-0.089199044,0.28557006,1.072396,1.0,2.791202,0.059590247,1.0,0.44294715,2.2078843
1.4,1.8117169,5.449857,15.204844,-0.23859672,0.97111875,-0.0832192,0.30693,2.1433496,1.0,3.3948123,0.06068342,1.0,0.44294715,2.791202
1.42,1.9236554,5.7737513,14.360296,-0.34558213,0.9383885,-0.07722444,0.29222873,1.9879476,1.0,3.420861,0.061805155,1.0,0.44294715,3.3948123
1.44,2.0419369,6.089398,16.803383,-0.45390284,0.8910512,-0.07144389,0.2756326,-2.6928792,1.0,2.0283217,0.062951826,1.0,0.44294715,3.420861
1.46,2.1665688,6.38532,14.664813,-0.5611483,0.8277153,-0.06623613,0.26161578,-1.0380856,0.9147165,2.5364766,0.06411981,1.0,0.44294715,2.0283217
1.48,2.2971673,6.6911664,18.63871,-0.664161,0.7475895,-0.061496373,0.21819562,-5.5972967,0.55192626,1.0333427,0.06530549,1.0,0.44294715,2.5364766
1.5,2.4342682,7.0251436,12.990785,-0.76010317,0.6498024,-0.058103673,0.1323892,-1.7672876,0.17302908,1.6876295,0.06650524,1.0,0.44294715,1.0333427
1.52,2.5776908,7.336997,19.0255,-0.84517604,0.534488,-0.056264553,0.04770624,-7.1472178,-0.22349064,-0.309667,0.067715436,1.0,0.44294715,1.6876295
1.54,2.7277396,7.6967607,17.725645,-0.9155781,0.4021401,-0.05655872,-0.088999435,-7.179765,-0.6269291,-1.1570513,0.06893246,1.0,0.44294715,-0.309667
1.56,2.8849041,8.02516,19.192762,-0.967236,0.25387895,-0.059708796,-0.22643837,-9.198048,-0.97305566,-2.650411,0.070152685,1.0,0.44294715,-1.1570513
1.58,3.0486073,8.351862,2.92043,-0.99568,0.09285136,-0.06580066,-0.38772544,-0.871871,-1.0,-1.7641875,0.071372494,1.0,0.44294715,-2.650411
1.6,-3.066277,8.476254,-5.3929634,-0.99716514,-0.07524444,-0.074227065,-0.4589264,2.398727,-1.0,-1.8442497,0.07258826,1.0,0.44294715,-1.7641875
1.62,-2.89688,8.432305,0.8577545,-0.970207,-0.24227764,-0.083553314,-0.4635464,-3.0282547,-1.0,-3.802864,0.07379637,1.0,0.44294715,-1.8442497
1.64,-2.7294905,8.274681,-7.432739,-0.91628087,-0.40053636,-0.092585616,-0.43142867,0.44397318,-1.0,-3.236482,0.074993186,1.0,0.44294715,-3.802864
1.66,-2.5657303,8.046335,-6.4327493,-0.838723,-0.5445583,-0.10094518,-0.38289854,-1.90189,-1.0,-3.9959035,0.0761751,1.0,0.44294715,-3.236482
1.68,-2.4068289,7.8075094,-13.234036,-0.74198914,-0.67041194,-0.10840166,-0.35530046,1.6018834,-1.0,-3.1402402,0.077338494,1.0,0.44294715,-3.9959035
1.7,-2.2538514,7.4530516,-11.467801,-0.6311656,-0.77564806,-0.114622265,-0.25850648,-1.4015644,-1.0,-3.6166682,0.07847973,1.0,0.44294715,-3.1402402
1.72,-2.1072645,7.1598306,-17.77157,-0.5111036,-0.8595191,-0.11971552,-0.235914,3.9473224,-0.9944337,-1.9220176,0.07959519,1.0,0.44294715,-3.6166682
1.74,-1.9670705,6.8336883,-16.520037,-0.38598388,-0.9225055,-0.12398489,-0.19988166,1.7165476,-0.886348,-2.315178,0.080681264,1.0,0.44294715,-1.9220176
1.76,-1.8332437,6.5116897,-18.318296,-0.25944492,-0.9657579,-0.1279172,-0.18603288,5.0198936,-0.5707023,-1.0572902,0.081734315,1.0,0.44294715,-2.315178
1.78,-1.7060851,6.168845,-17.557047,-0.13487644,-0.9908624,-0.13124828,-0.13670494,4.513353,-0.2567119,-0.76569426,0.08275073,1.0,0.44294715,-1.0572902
1.8,-1.585877,5.8223486,-16.79548,-0.015080043,-0.9998863,-0.13299678,-0.04245903,4.82026,0.030893166,0.009507045,0.08372688,1.0,0.44294715,-0.76569426
1.82,-1.4724072,5.4944224,-15.510471,0.09823044,-0.9951637,-0.13295856,0.049618546,6.4926434,0.27227587,1.1958259,0.08465916,1.0,0.44294715,0.009507045
1.84,-1.3652973,5.183744,-13.796825,0.2040557,-0.97895926,-0.13099495,0.13380876,7.296373,0.47881275,2.045979,0.08554392,1.0,0.44294715,1.1958259
1.86,-1.2641565,4.9026594,-14.924679,0.30185696,-0.9533532,-0.12732477,0.23444241,1.8874564,0.6399606,1.0071687,0.08637756,1.0,0.44294715,2.045979
1.88,-1.168544,4.632959,-13.270856,0.39149186,-0.9201816,-0.12192063,0.30951962,3.1145482,0.7521648,1.9027988,0.08715645,1.0,0.44294715,1.0071687
1.9,-1.0781771,4.3686075,-12.7172785,0.47293532,-0.88109714,-0.11510189,0.36148876,2.4551501,0.8384426,2.0863504,0.08787697,1.0,0.44294715,1.9027988
1.92,-0.9930933,4.118974,-9.393787,0.54610115,-0.83771926,-0.10748971,0.4052708,4.9383016,0.8873674,3.1485672,0.088535495,1.0,0.44294715,2.0863504
1.94,-0.912811,3.8813202,-8.908606,0.61152405,-0.79122585,-0.098981,0.44124234,4.1302,0.89629585,3.1646028,0.089128405,1.0,0.44294715,3.1485672
1.96,-0.8371095,3.6540246,-13.512478,0.6696124,-0.7427107,-0.08976685,0.46888325,-1.0016557,0.8574269,1.8855804,0.08965208,1.0,0.44294715,3.1646028
1.98,-0.76618457,3.418206,-16.80194,0.7205615,-0.693391,-0.08036059,0.47255614,-4.3005633,0.80857253,1.0451585,0.09010289,1.0,0.44294715,1.8855804
2.0,-0.70011383,3.1812615,-10.297728,0.76476884,-0.64430475,-0.07111425,0.46169454,0.33927843,0.74459594,2.362041,0.09047721,1.0,0.44294715,1.0451585
2.02,-0.638557,2.9441297,-4.0945005,0.80295664,-0.5960374,-0.062012408,0.43946967,4.2941675,0.6695197,3.3851237,0.090771444,1.0,0.44294715,2.362041
2.04,-0.5816541,2.7060304,-9.455706,0.835555,-0.54940677,-0.053388175,0.4061757,-0.21215628,0.5965061,2.0196362,0.090981945,1.0,0.44294715,3.3851237
2.06,-0.5297107,2.4822323,-12.823595,0.8629533,-0.5052837,-0.0456605,0.373034,-3.013639,0.49922803,1.1305236,0.091105096,1.0,0.44294715,2.0196362
2.08,-0.48200715,2.257259,-6.469491,0.88606626,-0.46355858,-0.03851194,0.33060512,0.83661515,0.4091434,1.9720792,0.091132924,1.0,0.44294715,1.1305236
2.1,-0.43872008,2.03886,-14.626745,0.9052961,-0.4247811,-0.03222968,0.2846326,-4.9245443,0.3318539,0.23885074,0.09083481,1.0,0.44294715,1.9720792
2.12,-0.40024602,1.8135602,-9.116248,0.92096514,-0.38964492,-0.027225241,0.2268182,-1.6828427,0.24744333,0.8226175,0.090094365,1.0,0.44294715,0.23885074
2.14,-0.36598417,1.5910302,-10.272507,0.933772,-0.35786846,-0.023242252,0.16466002,-2.7264602,0.17824,0.2558784,0.08892942,1.0,0.44294715,0.8226175
2.16,-0.33612248,1.4348062,-1.7977151,0.94404066,-0.32982904,-0.020522933,0.13849472,2.31262,0.12010853,1.4329545,0.087357804,1.0,0.44294715,0.2558784
2.18,-0.30880377,1.2756748,-5.967876,0.9526978,-0.3039192,-0.01800856,0.105368115,-0.5614388,0.08975761,0.52467227,0.08539734,1.0,0.44294715,1.4329545
2.2,-0.2843873,1.1610042,1.3117163,0.95983374,-0.2805694,-0.016028078,0.09486278,3.6825259,0.06955652,1.5567635,0.083065875,1.0,0.44294715,0.52467227
2.22,-0.26120356,1.1331433,-8.578779,0.9660799,-0.25824347,-0.013647194,0.13310094,-2.6145604,0.06068628,0.11267904,0.08038123,1.0,0.44294715,1.5567635
2.24,-0.24020103,0.9415972,-7.0565104,0.9712902,-0.23789789,-0.011536508,0.06685482,-1.8816841,0.07022016,-0.021599183,0.07736123,1.0,0.44294715,0.11267904
2.26,-0.22245984,0.8267606,-10.927026,0.9753577,-0.22062951,-0.010437516,0.04363607,-4.391948,0.08750428,-0.7792034,0.074023716,1.0,0.44294715,-0.021599183
2.28,-0.20662737,0.7597872,-7.3013678,0.9787284,-0.20516019,-0.009597688,0.046138763,-2.3444803,0.10872257,-0.2522991,0.070386514,1.0,0.44294715,-0.7792034
2.3,-0.19239944,0.6699671,-6.75327,0.98154825,-0.1912146,-0.008894808,0.0318813,-2.147927,0.12158636,-0.27668178,0.06646746,1.0,0.44294715,-0.2522991
2.32,-0.18014255,0.5795812,2.1082861,0.9838182,-0.17916982,-0.008605754,0.014675267,3.0560136,0.16795425,0.9565069,0.06228437,1.0,0.44294715,-0.27668178
2.34,-0.16853973,0.56429464,-0.79047614,0.9858308,-0.16774295,-0.007988856,0.040260524,1.1993611,0.21709237,0.6002123,0.057855085,1.0,0.44294715,0.9565069
2.36,-0.15740603,0.5298128,-4.112529,0.9876372,-0.15675683,-0.006979063,0.052070074,-0.89873326,0.26476973,0.11830294,0.053197432,1.0,0.44294715,0.6002123
2.38,-0.14700279,0.517747,2.4291756,0.98921454,-0.14647391,-0.005777218,0.07511989,2.9062755,0.31112558,1.1854961,0.04832925,1.0,0.44294715,0.11830294
2.4,-0.13661583,0.545003,-13.78439,0.99068254,-0.13619126,-0.0039986474,0.11956193,-6.865404,0.34976083,-1.0813303,0.043268356,1.0,0.44294715,1.1854961
2.42,-0.126615,0.4853316,10.274056,0.99199504,-0.12627697,-0.0019050271,0.11011951,7.3687305,0.39210796,2.4672554,0.038032588,1.0,0.44294715,-1.0813303
2.44,-0.11628182,0.5496015,1.5550157,0.9932469,-0.11601995,0.0008908794,0.1724946,2.074114,0.4033162,1.4194229,0.032639775,1.0,0.44294715,2.4672554
2.46,-0.10564256,0.49044678,9.090665,0.994425,-0.10544617,0.004332809,0.1593639,6.4424376,0.4457781,2.4530723,0.027107747,1.0,0.44294715,1.4194229
2.48,-0.09550317,0.5266138,-1.6112033,0.99544305,-0.09535805,0.00789937,0.20080572,-0.012749753,0.45844138,1.0145895,0.021454336,1.0,0.44294715,2.4530723
